,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sat,"January 14, 2023",boxscore,W,,,Seattle Seahawks,41,23,24,505,324,181,,22,332,228,104,2,,,
1,2022,Division,Sun,"January 22, 2023",boxscore,W,,,Dallas Cowboys,19,12,21,312,199,113,1,15,282,206,76,2,,,
2,2022,ConfChamp,Sun,"January 29, 2023",boxscore,L,,@,Philadelphia Eagles,7,31,11,164,83,81,3,25,269,121,148,,,,
3,2021,WildCard,Sun,"January 16, 2022",boxscore,W,,@,Dallas Cowboys,23,17,21,341,172,169,1,20,307,230,77,1,,,
4,2021,Division,Sat,"January 22, 2022",boxscore,W,,@,Green Bay Packers,13,10,12,212,106,106,1,14,263,196,67,1,,,
5,2021,ConfChamp,Sun,"January 30, 2022",boxscore,L,,@,Los Angeles Rams,17,20,16,282,232,50,1,25,396,326,70,1,,,
6,2019,Division,Sat,"January 11, 2020",boxscore,W,,,Minnesota Vikings,27,10,21,308,122,186,2,7,147,126,21,2,,,
7,2019,ConfChamp,Sun,"January 19, 2020",boxscore,W,,,Green Bay Packers,37,20,19,354,69,285,,21,358,296,62,3,,,
8,2019,SuperBowl,Sun,"February 2, 2020",boxscore,L,,N,Kansas City Chiefs,20,31,21,351,210,141,2,26,397,268,129,2,,,
9,2013,WildCard,Sun,"January 5, 2014",boxscore,W,,@,Green Bay Packers,23,20,22,381,214,167,1,18,281,157,124,,,,
10,2013,Division,Sun,"January 12, 2014",boxscore,W,,@,Carolina Panthers,23,10,21,315,189,126,,18,325,232,93,2,,,
11,2013,ConfChamp,Sun,"January 19, 2014",boxscore,L,,@,Seattle Seahawks,17,23,16,308,147,161,3,14,308,193,115,1,,,
12,2012,Division,Sat,"January 12, 2013",boxscore,W,,,Green Bay Packers,45,31,29,579,256,323,1,20,352,248,104,2,,,
13,2012,ConfChamp,Sun,"January 20, 2013",boxscore,W,,@,Atlanta Falcons,28,24,21,373,224,149,1,27,477,396,81,2,,,
