Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2003,JAX,DC,32,23,22,22,7,12,25,20,10,8,16,12,23,17,15,20,15,12,6,18,16,12,2,13,1,13,16,18,22,14,21
2004,JAX,DC,32,10,11,18,18,21,29,7,15,16,26,17,14,19,19,25,3,21,11,7,17,14,11,3,14,13,10,16,7,17,20
2005,JAX,DC,32,4,6,8,10,15,12,2,8,10,6,18,12,20,19,12,1,12,6,6,15,14,14,1,13,27,8,7,22,7,7
2006,JAX,DC,32,13,15,5,4,10,9,6,3,3,2,3,6,29,24,22,11,15,2,4,25,8,4,17,4,32,22,10,2,6,7
2007,JAX,DC,32,5,6,7,8,7,6,4,2,2,4,3,19,27,17,9,1,7,12,10,11,6,11,17,17,18,20,15,11,4,11
2008,ATL,HC,32,6,21,11,19,6,10,8,2,2,3,9,13,29,14,22,5,3,24,11,28,11,25,23,28,20,25,21,14,27,14
2009,ATL,HC,32,11,11,15,19,16,13,12,11,15,14,18,5,7,14,13,17,17,21,14,12,16,10,7,8,6,19,28,20,16,25
2010,ATL,HC,32,2,3,4,14,16,5,3,5,12,9,26,6,8,15,8,4,19,16,5,7,2,10,8,27,20,23,22,13,4,18
2011,ATL,HC,32,7,5,10,7,10,7,7,11,17,12,21,10,4,8,6,8,13,12,18,10,3,6,6,15,14,21,20,20,10,19
2012,ATL,HC,32,1,5,5,14,8,7,7,26,29,13,29,1,8,6,5,12,4,24,5,5,10,21,24,29,13,14,23,1,5,22
2013,ATL,HC,32,26,24,25,26,14,20,21,32,32,21,24,25,3,7,11,19,17,27,27,24,26,31,18,31,11,5,21,29,29,32
2014,ATL,HC,32,23,11,24,23,8,12,13,27,24,17,21,9,3,5,11,16,7,32,27,6,24,21,32,16,6,23,32,5,12,32
2016,TAM,DC,32,11,13,23,27,18,18,24,7,24,29,29,13,16,16,8,27,18,23,15,3,22,22,18,22,6,10,22,16,4,26
2017,TAM,DC,32,25,16,18,18,9,18,26,26,27,25,27,28,3,4,10,20,10,32,22,7,20,23,30,24,2,14,32,12,15,31
2018,TAM,DC,32,26,31,23,9,3,12,32,22,29,23,31,15,4,1,3,32,2,27,31,22,18,24,29,20,16,12,26,30,26,30
