,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2007,NYG,DC,32,7,26,13,11,16,14,23,8,4,7,4,23,17,21,14,23,22,7,17,22,10,8,17,9,18,9,11,20,20,10
1,2008,NYG,DC,32,2,4,3,4,7,3,1,7,1,8,1,1,21,18,8,4,14,5,5,20,3,9,15,12,30,12,8,7,9,7
2,2009,STL,HC,32,32,30,32,30,29,32,27,22,20,32,11,22,16,28,29,28,31,29,31,29,27,27,31,20,13,4,25,14,31,31
3,2010,STL,HC,32,17,10,19,24,26,26,8,14,25,24,31,2,5,21,25,13,30,19,12,17,8,17,4,22,10,24,19,7,19,9
4,2011,STL,HC,32,31,23,32,30,31,32,11,23,23,29,20,26,16,30,32,4,31,22,26,28,30,31,27,28,28,5,7,9,23,17
5,2012,NOR,DC,32,18,14,15,26,2,3,14,29,25,21,13,3,2,1,1,28,3,32,31,12,23,32,28,32,13,29,31,29,14,32
6,2015,NYG,DC,32,22,5,16,29,8,6,13,19,18,29,18,2,6,7,1,19,11,32,30,6,22,24,26,24,4,29,32,25,10,29
7,2016,NYG,DC,32,5,21,12,22,25,26,24,22,29,32,30,24,8,17,13,22,19,10,2,11,12,3,5,2,19,29,23,2,4,7
8,2017,NYG,HC,32,31,20,31,31,21,31,14,25,26,28,22,14,1,19,23,20,26,31,27,23,24,27,9,20,23,23,31,32,15,27
9,,NYG,DC,32,31,20,31,31,21,31,14,25,26,28,22,14,1,19,23,20,26,31,27,23,24,27,9,20,23,23,31,32,15,27
10,2019,KAN,DC,32,5,7,4,10,6,5,3,27,23,13,20,19,15,5,5,2,2,17,7,10,17,26,17,29,24,23,8,8,5,5
11,2020,KAN,DC,32,1,8,6,3,1,6,4,23,16,22,12,18,3,1,3,2,3,16,10,10,19,21,10,17,25,16,14,20,5,18
12,2021,KAN,DC,32,3,11,5,11,3,4,23,20,16,14,7,30,2,4,6,11,9,27,8,5,6,21,14,31,1,23,27,16,12,26
13,2022,KAN,DC,32,1,22,4,2,1,1,17,25,20,7,8,24,5,1,1,10,1,11,16,20,5,8,5,15,17,30,18,32,21,4
