Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2003,40,JAX,NFL,16,5,11,0,.313,-2.4,-3.3,0.9,,,,,3,8,3,
2004,41,JAX,NFL,16,9,7,0,.563,0.8,-5.7,6.4,,,,,2,13,4,
2005,42,JAX,NFL,16,12,4,0,.750,4.8,1.1,3.7,1,0,1,.000,2,7,2,
2006,43,JAX,NFL,16,8,8,0,.500,7.5,2.6,4.9,,,,,3,5,4,
2007,44,JAX,NFL,16,11,5,0,.688,6.8,4.8,2.0,2,1,1,.500,2,10,2,
2008,45,JAX,NFL,16,5,11,0,.313,-2.5,-2.1,-0.4,,,,,4,7,1,
2009,46,JAX,NFL,16,7,9,0,.438,-6.5,-3.8,-2.6,,,,,4,6,2,
2010,47,JAX,NFL,16,8,8,0,.500,-4.5,-1.2,-3.3,,,,,2,6,1,
2011,48,JAX,NFL,11,3,8,0,.273,-5.6,-7.1,1.4,,,,,3,4,1,Fired after Week 12
2015,52,OAK,NFL,16,7,9,0,.438,-0.2,1.4,-1.6,,,,,3,5,2,
2016,53,OAK,NFL,16,12,4,0,.750,3.3,3.5,-0.3,1,0,1,.000,2,7,4,
2017,54,OAK,NFL,16,6,10,0,.375,-4.7,-3.0,-1.8,,,,,3,7,3,
