Year,Age,Level,Employer,Role
1997,34,NFL,New Orleans Saints,Strength and Conditioning
1998,35,NFL,New Orleans Saints,Strength and Conditioning
1999,36,NFL,Baltimore Ravens,Linebackers
2000,37,NFL,Baltimore Ravens,Linebackers
2001,38,NFL,Baltimore Ravens,Linebackers
2002,39,NFL,Carolina Panthers,Defensive Coordinator
2003,40,NFL,Jacksonville Jaguars,Head Coach
2004,41,NFL,Jacksonville Jaguars,Head Coach
2005,42,NFL,Jacksonville Jaguars,Head Coach
2006,43,NFL,Jacksonville Jaguars,Head Coach
2007,44,NFL,Jacksonville Jaguars,Head Coach
2008,45,NFL,Jacksonville Jaguars,Head Coach
2009,46,NFL,Jacksonville Jaguars,Head Coach
2010,47,NFL,Jacksonville Jaguars,Head Coach
2011,48,NFL,Jacksonville Jaguars,Head Coach
2012,49,NFL,Denver Broncos,Defensive Coordinator
2013,50,NFL,Denver Broncos,Defensive Coordinator
2014,51,NFL,Denver Broncos,Defensive Coordinator
2015,52,NFL,Oakland Raiders,Head Coach
2016,53,NFL,Oakland Raiders,Head Coach
2017,54,NFL,Oakland Raiders,Head Coach
2020,57,NFL,Washington Football Team,Defensive Coordinator
2021,58,NFL,Washington Football Team,Defensive Coordinator
2022,59,NFL,Washington Commanders,Defensive Coordinator
2023,60,NFL,Washington Commanders,Defensive Coordinator
2024,61,College (FBS),Wisconsin,Senior Advisor
2025,62,ELF,Paris Musketeers,Head Coach
