,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2002,CAR,DC,32,20,23,23,22,31,30,29,13,25,21,31,27,29,30,30,25,27,2,5,7,19,8,6,1,7,11,4,7,15,4
1,2003,JAX,HC,32,23,22,22,7,12,25,20,10,8,16,12,23,17,15,20,15,12,6,18,16,12,2,13,1,13,16,18,22,14,21
2,2004,JAX,HC,32,10,11,18,18,21,29,7,15,16,26,17,14,19,19,25,3,21,11,7,17,14,11,3,14,13,10,16,7,17,20
3,2005,JAX,HC,32,4,6,8,10,15,12,2,8,10,6,18,12,20,19,12,1,12,6,6,15,14,14,1,13,27,8,7,22,7,7
4,2006,JAX,HC,32,13,15,5,4,10,9,6,3,3,2,3,6,29,24,22,11,15,2,4,25,8,4,17,4,32,22,10,2,6,7
5,2007,JAX,HC,32,5,6,7,8,7,6,4,2,2,4,3,19,27,17,9,1,7,12,10,11,6,11,17,17,18,20,15,11,4,11
6,2008,JAX,HC,32,25,25,24,22,20,24,13,18,18,10,17,18,11,15,24,12,23,17,21,31,14,13,15,13,32,4,24,27,17,30
7,2009,JAX,HC,32,21,13,25,22,18,24,7,12,10,6,6,26,23,19,27,4,18,23,24,19,22,19,14,12,17,9,27,26,16,30
8,2010,JAX,HC,32,15,31,24,23,15,18,26,3,3,9,5,21,31,27,11,25,17,28,27,30,13,22,29,30,31,7,28,26,23,32
9,2011,JAX,HC,32,26,9,26,29,32,28,11,4,12,23,23,10,28,32,31,17,32,6,11,11,16,9,20,5,7,11,8,9,13,14
10,2012,DEN,DC,32,1,17,2,1,4,2,16,9,16,13,25,26,10,5,3,6,1,2,4,16,7,3,1,2,22,17,3,17,13,1
11,2013,DEN,DC,32,1,14,1,1,1,1,17,11,15,7,20,32,2,1,1,5,1,19,22,16,8,7,23,10,21,27,27,21,12,17
12,2014,DEN,DC,32,1,11,4,2,4,2,6,12,15,9,20,3,9,4,2,16,4,3,16,14,1,2,8,4,23,32,9,25,7,1
13,2015,OAK,HC,32,17,17,17,24,24,17,17,29,28,24,22,18,14,16,6,19,23,22,22,12,11,13,20,18,11,30,26,15,13,10
14,2016,OAK,HC,32,3,1,11,19,6,7,4,11,6,6,10,7,9,13,8,4,13,26,20,2,18,23,25,25,2,6,24,20,9,32
15,2017,OAK,HC,32,22,29,25,23,17,23,28,30,25,11,13,30,15,16,16,20,13,23,20,30,18,12,13,13,14,11,26,18,32,28
16,2020,WAS,DC,32,17,23,14,13,30,25,29,25,26,13,28,24,9,25,28,26,30,2,4,7,16,13,10,11,21,4,2,2,5,2
