Year,Age,Level,Employer,Role
1948,27,College,Kent State,Assistant Coach
1949,28,College,Kent State,Assistant Coach
1950,29,College,Kent State,Assistant Coach
1951,30,College,Kent State,Assistant Coach
1952,31,College,Kent State,Assistant Coach
1953,32,College,Kent State,Assistant Coach
1954,33,College,Kent State,Assistant Coach
1955,34,College,Kent State,Assistant Coach
1956,35,College,Kent State,Assistant Coach
1957,36,College,Kent State,Assistant Coach
1958,37,College,Kent State,Assistant Coach
1959,38,NFL,Baltimore Colts,Ends Coach
1960,39,NFL,Baltimore Colts,Ends Coach
1961,40,NFL,Baltimore Colts,Ends Coach
1962,41,NFL,Baltimore Colts,Ends Coach
1963,42,NFL,Baltimore Colts,Offensive Backfield
1964,43,NFL,Baltimore Colts,Offensive Backfield
1965,44,NFL,Baltimore Colts,Offensive Backfield
1966,45,NFL,Baltimore Colts,Offensive Backfield
1967,46,NFL,Baltimore Colts,Offensive Backfield
1968,47,NFL,Baltimore Colts,Offensive Backfield
1969,48,NFL,Baltimore Colts,Offensive Backfield
1970,49,NFL,Baltimore Colts,Head Coach
1971,50,NFL,Baltimore Colts,Head Coach
1972,51,NFL,Baltimore Colts,Head Coach
1973,52,NFL,Detroit Lions,Head Coach
