Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1946,36,BDA,AAFC,7,1,6,0,.143,-7.1,-3.0,-4.1,,,,,2,
1947,37,BDA,AAFC,14,3,10,1,.231,-9.9,-8.0,-1.9,,,,,3,
