,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1989,PHI,DC,28,3,1,11,10,12,13,9,4,5,12,8,17,9,18,8,6,25,8,5,1,6,7,1,10,1,18,12,24,1,7
1,1990,PHI,DC,28,8,8,6,3,3,3,8,3,1,21,2,17,13,13,2,8,14,12,12,16,1,1,6,2,20,28,25,22,9,13
2,1991,RAM,DC,28,25,28,25,21,18,24,22,23,27,17,26,26,4,7,20,20,8,23,27,28,23,12,23,5,28,2,25,25,27,28
3,1994,HOU,HC,28,28,26,27,21,26,28,28,20,12,20,5,28,10,25,26,15,28,9,21,20,27,28,26,23,14,1,2,7,20,23
4,,HOU,DC,28,28,26,27,21,26,28,28,20,12,20,5,28,10,25,26,15,28,9,21,20,27,28,26,23,14,1,2,7,20,23
5,1995,HOU,HC,30,18,14,11,11,23,15,26,8,18,17,29,29,19,19,14,16,19,5,7,3,5,8,8,10,5,15,3,18,6,5
6,1996,HOU,HC,30,15,20,11,8,18,10,14,9,6,15,9,25,28,21,12,8,7,6,16,22,3,2,2,4,7,12,13,21,25,14
7,1997,TEN,HC,30,15,9,13,20,18,14,15,2,3,7,4,16,29,29,25,13,19,22,12,6,6,4,12,9,1,21,27,15,18,28
8,1998,TEN,HC,30,13,15,13,13,9,13,2,11,9,12,6,9,16,15,23,2,13,16,12,28,10,9,8,13,23,14,20,21,26,25
9,1999,TEN,HC,31,2,2,6,17,13,7,2,12,13,3,17,5,21,13,9,2,7,17,15,4,4,10,7,22,1,18,25,27,17,20
10,2000,TEN,HC,31,1,16,3,2,14,13,19,1,7,12,24,20,26,16,19,15,7,1,2,14,6,3,2,5,13,5,1,1,13,1
11,2001,TEN,HC,31,16,20,22,18,8,12,13,11,12,12,23,10,19,8,9,15,9,25,25,25,5,5,27,6,20,27,31,27,25,30
12,2002,TEN,HC,32,4,11,11,15,17,13,10,4,11,11,26,10,23,20,16,12,9,10,11,14,2,2,2,7,17,22,25,27,12,18
13,2003,TEN,HC,32,3,3,4,9,8,5,4,9,26,20,31,18,22,5,3,2,1,12,13,8,1,1,6,7,7,27,30,16,8,25
14,2004,TEN,HC,32,26,20,27,21,11,15,23,23,14,16,7,20,2,10,8,23,22,27,30,13,9,18,26,26,13,23,26,25,13,30
15,2005,TEN,HC,32,26,20,29,21,17,21,13,25,23,27,20,14,5,9,17,9,17,19,29,27,19,22,15,25,17,5,17,32,30,27
16,2006,TEN,HC,32,13,13,26,31,27,16,14,14,5,9,7,4,28,30,30,23,24,32,31,15,29,30,30,26,17,25,27,25,13,28
17,2007,TEN,HC,32,7,16,16,12,21,22,23,1,5,5,21,27,28,27,32,17,20,5,8,6,3,5,12,15,13,26,10,14,2,3
18,2008,TEN,HC,32,1,2,1,15,21,14,3,5,7,2,11,6,27,27,28,3,16,7,2,3,8,6,11,6,13,30,9,2,6,4
19,2009,TEN,HC,32,16,21,21,21,12,16,22,5,2,6,1,29,28,23,24,15,14,28,28,16,8,10,21,16,28,32,31,30,8,23
20,2010,TEN,HC,32,20,19,16,29,27,17,17,23,17,12,14,25,30,25,17,13,14,26,15,20,26,20,4,7,24,32,29,13,11,15
21,2012,STL,HC,32,17,17,22,20,23,25,10,22,19,29,15,9,17,18,18,12,21,14,14,23,20,15,28,19,31,13,15,4,11,13
22,2013,STL,HC,32,20,9,17,27,30,21,10,17,19,23,18,16,28,27,20,7,22,15,13,10,16,9,27,3,1,6,19,7,20,24
23,2014,STL,HC,32,23,19,21,25,28,21,24,26,20,17,17,19,23,23,22,19,21,17,16,14,17,14,17,15,6,9,19,3,18,22
24,2015,STL,HC,32,17,14,19,31,32,29,15,14,7,6,6,22,29,32,32,9,30,23,13,10,24,20,3,14,4,22,23,7,17,13
25,2016,LAR,HC,32,28,28,30,30,32,32,27,28,31,26,31,13,27,31,32,30,32,9,23,23,20,16,13,10,19,19,10,29,23,9
