Year,Age,Level,Employer,Role
1986,28,NFL,Philadelphia Eagles,Defensive Backs
1987,29,NFL,Philadelphia Eagles,Defensive Backs
1988,30,NFL,Philadelphia Eagles,Defensive Backs
1989,31,NFL,Philadelphia Eagles,Defensive Coordinator/Linebackers
1990,32,NFL,Philadelphia Eagles,Defensive Coordinator/Linebackers
1991,33,NFL,Los Angeles Rams,Defensive Coordinator
1992,34,NFL,San Francisco 49ers,Defensive Backs
1993,35,NFL,San Francisco 49ers,Defensive Backs
1994,36,NFL,Houston Oilers,Defensive Coordinator/Interim HC
1995,37,NFL,Houston Oilers,Head Coach
1996,38,NFL,Houston Oilers,Head Coach
1997,39,NFL,Tennessee Oilers,Head Coach
1998,40,NFL,Tennessee Oilers,Head Coach
1999,41,NFL,Tennessee Titans,Head Coach
2000,42,NFL,Tennessee Titans,Head Coach
2001,43,NFL,Tennessee Titans,Head Coach
2002,44,NFL,Tennessee Titans,Head Coach
2003,45,NFL,Tennessee Titans,Head Coach
2004,46,NFL,Tennessee Titans,Head Coach
2005,47,NFL,Tennessee Titans,Head Coach
2006,48,NFL,Tennessee Titans,Head Coach
2007,49,NFL,Tennessee Titans,Head Coach
2008,50,NFL,Tennessee Titans,Head Coach
2009,51,NFL,Tennessee Titans,Head Coach
2010,52,NFL,Tennessee Titans,Head Coach
2012,54,NFL,St. Louis Rams,Head Coach
2013,55,NFL,St. Louis Rams,Head Coach
2014,56,NFL,St. Louis Rams,Head Coach
2015,57,NFL,St. Louis Rams,Head Coach
2016,58,NFL,Los Angeles Rams,Head Coach
2021,63,College (FCS),Tennessee State,Senior Advisor
2022,64,USFL,Michigan Panthers,Head Coach
