Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1994,36,HOU,NFL,6,1,5,0,.167,-7.3,-4.7,-2.6,,,,,4,,,
1995,37,HOU,NFL,16,7,9,0,.438,0.8,-0.1,0.9,,,,,2,,,
1996,38,HOU,NFL,16,8,8,0,.500,1.0,0.1,0.8,,,,,4,,,
1997,39,TEN,NFL,16,8,8,0,.500,1.7,-0.3,1.9,,,,,3,,,
1998,40,TEN,NFL,16,8,8,0,.500,0.0,-0.5,0.5,,,,,2,,,
1999,41,TEN,NFL,16,13,3,0,.813,1.0,2.0,-1.0,4,3,1,.750,2,5,1,AFC Champions
2000,42,TEN,NFL,16,13,3,0,.813,8.3,1.5,6.8,1,0,1,.000,1,3,1,
2001,43,TEN,NFL,16,7,9,0,.438,-2.0,2.4,-4.4,,,,,4,5,4,
2002,44,TEN,NFL,16,11,5,0,.688,1.8,1.6,0.1,2,1,1,.500,1,7,1,
2003,45,TEN,NFL,16,12,4,0,.750,6.5,7.0,-0.5,2,1,1,.500,2,5,2,
2004,46,TEN,NFL,16,5,11,0,.313,-4.4,0.3,-4.6,,,,,4,8,3,
2005,47,TEN,NFL,16,4,12,0,.250,-7.6,-2.0,-5.5,,,,,3,1,0,
2006,48,TEN,NFL,16,8,8,0,.500,-1.3,1.0,-2.3,,,,,2,8,3,
2007,49,TEN,NFL,16,10,6,0,.625,0.7,-2.9,3.6,1,0,1,.000,3,6,4,
2008,50,TEN,NFL,16,13,3,0,.813,8.9,1.5,7.5,1,0,1,.000,1,2,0,
2009,51,TEN,NFL,16,8,8,0,.500,-2.8,0.9,-3.6,,,,,3,6,1,
2010,52,TEN,NFL,16,6,10,0,.375,1.0,-0.9,1.9,,,,,4,9,3,
2012,54,STL,NFL,16,7,8,1,.469,0.4,-2.1,2.4,,,,,3,3,1,
2013,55,STL,NFL,16,7,9,0,.438,2.2,0.4,1.8,,,,,4,3,1,
2014,56,STL,NFL,16,6,10,0,.375,-0.8,-1.2,0.4,,,,,4,2,1,
2015,57,STL,NFL,16,7,9,0,.438,-0.2,-3.8,3.6,,,,,3,7,4,
2016,58,LAR,NFL,13,4,9,0,.308,-11.1,-9.5,-1.6,,,,,3,0,0,Fired after Week 14
