Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1947,49,BOS,NFL,12,4,7,1,.364,-8.9,-9.9,0.9,,,,,3,
1948,50,BOS,NFL,12,3,9,0,.250,-15.6,-8.2,-7.4,,,,,5,
