,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1976,PHI,HC,28,21,22,24,24,23,27,9,16,16,26,12,8,14,26,20,15,26,21,19,28,17,15,19,10,17,27,26,18,26,22
1,1977,PHI,HC,28,19,15,12,19,23,19,18,20,24,18,23,20,14,20,6,13,22,10,7,14,13,15,9,12,16,17,8,12,11,6
2,1978,PHI,HC,28,8,2,9,11,18,18,12,10,7,12,8,24,15,21,14,1,22,11,5,2,2,5,2,9,7,21,22,14,4,19
3,1979,PHI,HC,28,3,9,6,9,15,12,2,10,9,11,6,11,22,19,8,1,15,9,9,22,8,18,12,23,26,12,4,11,13,4
4,1980,PHI,HC,28,1,8,1,3,8,6,3,11,14,5,23,17,16,7,6,1,3,2,1,15,3,2,1,6,25,26,5,3,9,2
5,1981,PHI,HC,28,6,7,1,1,12,5,11,7,4,10,2,9,21,20,7,13,13,1,1,5,8,4,7,6,5,16,1,2,6,1
6,1982,PHI,HC,28,21,7,13,21,18,11,14,28,25,8,11,14,11,11,9,15,15,20,19,3,21,15,2,6,5,16,20,21,7,20
7,1997,STL,HC,30,25,6,23,19,21,23,19,17,24,9,25,22,17,17,26,14,16,17,19,3,12,9,6,12,10,21,17,26,2,17
8,1998,STL,HC,30,25,27,25,22,27,24,21,28,29,8,28,21,5,22,28,18,26,10,24,22,18,24,11,23,23,7,3,28,17,6
9,1999,STL,HC,31,2,9,1,1,1,1,13,15,5,10,2,24,19,1,1,7,1,6,4,6,1,1,1,6,27,29,20,7,2,6
10,2001,KAN,HC,31,22,22,17,6,5,16,19,13,6,4,5,5,15,5,22,29,6,23,23,22,25,27,22,25,9,7,14,13,25,22
11,2002,KAN,HC,32,17,3,7,19,4,1,1,10,3,1,2,1,27,11,3,8,1,32,28,8,14,24,29,30,12,32,31,27,12,27
12,2003,KAN,HC,32,2,1,1,16,2,1,1,16,15,1,11,2,7,2,10,5,2,29,19,4,18,30,26,32,13,29,20,13,3,12
13,2004,KAN,HC,32,18,22,10,5,1,2,14,7,5,1,3,8,6,4,8,17,4,31,29,27,4,12,26,29,28,22,32,30,24,32
14,2005,KAN,HC,32,11,8,9,1,1,6,6,6,4,2,5,17,17,6,23,3,3,25,16,7,2,7,11,20,5,27,30,28,14,26
