Year,Age,Level,Employer,Role
1969,33,NFL,Los Angeles Rams,Special Teams
1970,34,College,UCLA,Offensive Coordinator
1971,35,NFL,Los Angeles Rams,Quarterbacks
1972,36,NFL,Los Angeles Rams,Quarterbacks
1973,37,NFL,Los Angeles Rams,Offensive Backs/Special Teams
1974,38,College,UCLA,Head Coach
1975,39,College,UCLA,Head Coach
1976,40,NFL,Philadelphia Eagles,Head Coach
1977,41,NFL,Philadelphia Eagles,Head Coach
1978,42,NFL,Philadelphia Eagles,Head Coach
1979,43,NFL,Philadelphia Eagles,Head Coach
1980,44,NFL,Philadelphia Eagles,Head Coach
1981,45,NFL,Philadelphia Eagles,Head Coach
1982,46,NFL,Philadelphia Eagles,Head Coach
1997,61,NFL,St. Louis Rams,Head Coach
1998,62,NFL,St. Louis Rams,Head Coach
1999,63,NFL,St. Louis Rams,Head Coach
2001,65,NFL,Kansas City Chiefs,Head Coach
2002,66,NFL,Kansas City Chiefs,Head Coach
2003,67,NFL,Kansas City Chiefs,Head Coach
2004,68,NFL,Kansas City Chiefs,Head Coach
2005,69,NFL,Kansas City Chiefs,Head Coach
