Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
atl,277,3787.0,874.0,4.3,38.0,18,237.0,164,343,1638,9,20,4.4,106.0,500,2149,19,4.3,114.0,61,614,17.0,,,,,,,,,,,,,,,,,
buf,394,4604.0,895.0,5.1,22.0,11,250.0,157,303,2108,20,11,6.3,101.0,562,2496,21,4.4,135.0,89,883,14.0,,,,,,,,,,,,,,,,,
chi,276,4520.0,899.0,5.0,45.0,23,234.0,192,362,2404,12,22,6.2,117.0,509,2116,14,4.2,99.0,78,819,18.0,,,,,,,,,,,,,,,,,
cin,265,3906.0,811.0,4.8,39.0,12,213.0,157,335,2128,19,27,5.8,102.0,446,1778,11,4.0,93.0,72,722,18.0,,,,,,,,,,,,,,,,,
cle,273,4194.0,848.0,4.9,40.0,16,232.0,156,339,1967,12,24,5.4,100.0,484,2227,14,4.6,115.0,86,772,17.0,,,,,,,,,,,,,,,,,
clt,140,2852.0,746.0,3.8,41.0,13,166.0,185,361,1739,9,28,4.4,95.0,352,1113,8,3.2,60.0,67,687,11.0,,,,,,,,,,,,,,,,,
crd,279,4365.0,881.0,5.0,33.0,16,244.0,212,375,2380,12,17,6.0,120.0,486,1985,10,4.1,109.0,79,831,15.0,,,,,,,,,,,,,,,,,
dal,222,3468.0,817.0,4.2,51.0,25,200.0,209,421,2324,15,26,5.0,125.0,353,1144,8,3.2,59.0,61,647,16.0,,,,,,,,,,,,,,,,,
den,275,3819.0,826.0,4.6,40.0,20,206.0,150,356,1985,18,20,5.0,91.0,426,1834,11,4.3,90.0,78,771,25.0,,,,,,,,,,,,,,,,,
det,286,3859.0,756.0,5.1,33.0,11,210.0,163,306,2017,17,22,6.2,99.0,432,1842,15,4.3,97.0,97,942,14.0,,,,,,,,,,,,,,,,,
gnb,298,4008.0,861.0,4.7,32.0,16,230.0,186,353,2301,21,16,6.2,110.0,489,1707,7,3.5,104.0,60,514,16.0,,,,,,,,,,,,,,,,,
kan,208,3768.0,813.0,4.6,33.0,6,223.0,209,418,2468,11,27,5.5,125.0,367,1300,9,3.5,73.0,71,751,25.0,,,,,,,,,,,,,,,,,
mia,174,3661.0,800.0,4.6,31.0,14,214.0,206,363,2000,10,17,5.0,111.0,403,1661,10,4.1,93.0,62,569,10.0,,,,,,,,,,,,,,,,,
min,139,3406.0,879.0,3.9,45.0,18,194.0,206,405,1806,10,27,4.2,88.0,447,1600,2,3.6,88.0,57,615,18.0,,,,,,,,,,,,,,,,,
nor,347,4438.0,852.0,5.2,45.0,25,260.0,175,333,2238,20,20,6.3,110.0,495,2200,18,4.4,129.0,98,967,21.0,,,,,,,,,,,,,,,,,
nwe,325,4072.0,856.0,4.8,29.0,14,237.0,170,350,2154,16,15,5.7,111.0,481,1918,14,4.0,106.0,60,559,20.0,,,,,,,,,,,,,,,,,
nyg,362,4366.0,800.0,5.5,30.0,15,228.0,173,333,2307,25,15,6.6,112.0,449,2059,12,4.6,104.0,69,730,12.0,,,,,,,,,,,,,,,,,
nyj,299,4357.0,841.0,5.2,27.0,14,235.0,163,342,2055,17,13,5.6,101.0,472,2302,18,4.9,118.0,81,814,16.0,,,,,,,,,,,,,,,,,
oti,330,3795.0,880.0,4.3,37.0,14,237.0,180,354,2072,11,23,5.3,97.0,489,1723,22,3.5,117.0,75,916,23.0,,,,,,,,,,,,,,,,,
phi,302,4622.0,889.0,5.2,47.0,25,251.0,220,407,2660,16,22,6.1,129.0,450,1962,16,4.4,104.0,94,908,18.0,,,,,,,,,,,,,,,,,
pit,292,4248.0,881.0,4.8,35.0,18,225.0,235,408,2766,16,17,6.3,132.0,440,1482,13,3.4,81.0,81,784,12.0,,,,,,,,,,,,,,,,,
rai,278,4137.0,871.0,4.7,40.0,17,242.0,184,359,2386,15,23,6.1,122.0,480,1751,14,3.6,100.0,80,832,20.0,,,,,,,,,,,,,,,,,
ram,260,4037.0,879.0,4.6,34.0,7,239.0,200,387,2379,15,27,5.6,129.0,455,1658,11,3.6,91.0,62,665,19.0,,,,,,,,,,,,,,,,,
sdg,341,4558.0,859.0,5.3,32.0,10,272.0,193,347,2262,15,22,6.2,114.0,493,2296,25,4.7,143.0,84,887,15.0,,,,,,,,,,,,,,,,,
sfo,216,3679.0,787.0,4.7,30.0,16,199.0,152,341,2011,17,14,5.3,96.0,408,1668,4,4.1,80.0,75,610,23.0,,,,,,,,,,,,,,,,,
was,190,3523.0,855.0,4.1,41.0,12,213.0,191,411,2127,11,29,4.8,119.0,408,1396,7,3.4,73.0,93,720,21.0,,,,,,,,,,,,,,,,,
