,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2009,47,BUF,NFL,7,3,4,0,.429,-1.8,-4.5,2.7,,,,,4,1,1,Coach starting Week 11
1,2019,57,CAR,NFL,4,0,4,0,.000,-7.0,-1.9,-5.1,,,,,4,2,1,Interim coach as of Week 13
