Year,Age,Level,Employer,Role
1959,26,Junior College,Yuba JC (CA),Assistant Coach
1960,27,Junior College,Yuba JC (CA),Assistant Coach
1961,28,Junior College,Yuba JC (CA),Assistant Coach
1962,29,High School,Charter Oak HS (Covina CA),Head Coach
1963,30,High School,Charter Oak HS (Covina CA),Head Coach
1966,33,College,Utah,Assistant Coach
1967,34,College,Utah,Assistant Coach
1968,35,College,Utah,Assistant Coach
1969,36,College,Utah,Assistant Coach
1970,37,College,California,Offensive Assistant
1971,38,College,California,Offensive Assistant
1972,39,College,San Diego State,Offensive Line
1973,40,NFL,St. Louis Cardinals,Offensive Line
1974,41,NFL,St. Louis Cardinals,Offensive Line
1975,42,NFL,St. Louis Cardinals,Offensive Line
1976,43,NFL,St. Louis Cardinals,Offensive Line
1977,44,NFL,St. Louis Cardinals,Offensive Line
1978,45,NFL,St. Louis Cardinals,Offensive Line
1979,46,NFL,San Diego Chargers,Asst. HC/Offensive Line
1980,47,NFL,St. Louis Cardinals,Head Coach
1981,48,NFL,St. Louis Cardinals,Head Coach
1982,49,NFL,St. Louis Cardinals,Head Coach
1983,50,NFL,St. Louis Cardinals,Head Coach
1984,51,NFL,St. Louis Cardinals,Head Coach
1985,52,NFL,St. Louis Cardinals,Head Coach
1987,54,NFL,Atlanta Falcons,Asst. HC/Offensive Line
1988,55,NFL,Atlanta Falcons,Asst. HC/Offensive Line
1989,56,NFL,Atlanta Falcons,Offensive Line/Interim HC
1990,57,NFL,Washington Redskins,Offensive Line
1991,58,NFL,Washington Redskins,Offensive Line
1992,59,NFL,Washington Redskins,Offensive Line
1993,60,NFL,Washington Redskins,Offensive Line
1994,61,NFL,Washington Redskins,Offensive Line
1995,62,NFL,Washington Redskins,Offensive Line
1996,63,NFL,Washington Redskins,Offensive Line
1997,64,NFL,St. Louis Rams,Offensive Line
1998,65,NFL,St. Louis Rams,Offensive Line
1999,66,NFL,St. Louis Rams,Offensive Line
2000,67,NFL,St. Louis Rams,Offensive Line
2001,68,NFL,St. Louis Rams,Offensive Line
2002,69,NFL,St. Louis Rams,Offensive Line
2003,70,NFL,St. Louis Rams,Offensive Line
