,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2001,CLE,OC,31,16,7,19,30,31,25,19,21,31,26,31,14,25,28,17,23,23,22,15,1,29,29,17,26,27,24,10,11,1,5
1,2002,CLE,OC,32,11,18,15,21,23,19,19,26,23,23,24,7,15,18,3,25,18,21,10,14,25,27,6,21,15,7,15,13,15,24
2,2003,CLE,OC,32,23,28,24,25,26,29,26,27,20,26,15,25,21,25,20,18,24,15,12,25,20,23,20,26,29,11,7,3,14,5
3,2007,PIT,OC,32,7,12,6,3,17,9,6,3,3,22,7,6,31,22,3,6,14,1,2,22,2,3,1,14,10,14,3,15,30,1
4,2008,PIT,OC,32,2,11,5,2,22,20,15,9,23,11,29,13,20,17,18,16,20,1,1,9,5,2,2,1,18,23,1,2,6,1
5,2009,PIT,OC,32,11,20,14,6,7,12,12,18,19,20,16,17,18,9,7,12,8,5,12,26,4,3,4,5,17,23,16,14,25,8
6,2010,PIT,OC,32,3,2,3,2,14,12,4,8,11,8,18,9,27,14,21,4,5,2,1,3,1,1,1,1,5,29,12,3,5,2
7,2011,PIT,OC,32,5,28,7,1,12,21,20,19,14,15,11,26,19,10,13,17,9,1,1,32,8,8,2,9,30,13,1,2,24,1
8,2012,IND,OC,32,6,26,21,18,10,18,23,14,22,18,26,15,6,7,16,26,18,26,21,30,17,29,21,31,32,9,21,15,20,21
9,2013,ARI,HC,32,10,17,10,7,12,16,26,20,23,18,27,9,17,13,15,28,11,6,7,6,2,1,3,2,15,30,14,21,5,6
10,2014,ARI,HC,32,6,5,16,27,24,24,4,24,31,29,32,3,15,14,20,8,18,24,5,14,8,13,8,26,23,25,29,6,7,23
11,2015,ARI,HC,32,2,4,2,2,1,2,17,9,8,6,12,22,19,2,3,17,1,5,7,2,4,6,8,9,3,18,8,11,4,9
12,2016,ARI,HC,32,20,17,7,1,9,6,26,21,18,3,12,24,3,9,11,26,23,2,14,4,20,9,22,3,2,9,4,8,12,3
13,2017,ARI,HC,32,18,23,24,15,22,25,23,20,30,28,31,12,5,15,20,28,23,6,19,16,10,6,16,3,23,25,14,18,12,12
14,2019,TAM,HC,32,17,28,13,6,3,3,32,14,24,15,28,22,4,1,3,32,4,15,29,5,4,1,7,1,2,32,30,25,17,12
15,2020,TAM,HC,32,8,14,8,12,25,14,22,24,27,7,27,18,12,18,8,20,21,4,7,3,7,3,10,2,7,23,14,3,2,4
