Year,Age,Level,Employer,Role
1989,23,College (FBS),Maryland,Graduate Assistant/Linebackers
1990,24,College (FBS),Minnesota,Graduate Assistant
1991,25,College (NCAA D-II),North Carolina Central,Secondary
1992,26,College (FCS),Colgate,Linebackers
1993,27,NFL,Cleveland Browns,Personnel Scout
1994,28,NFL,Cleveland Browns,Personnel Scout
1995,29,NFL,Cleveland Browns,Personnel Scout
1996,30,NFL,Baltimore Ravens,Defensive Assistant
1997,31,NFL,Baltimore Ravens,Defensive Assistant
1998,32,NFL,Baltimore Ravens,Defensive Assistant
1999,33,NFL,Tennessee Titans,Defensive Assistant
2000,34,NFL,Tennessee Titans,Linebackers
2001,35,NFL,Tennessee Titans,Defensive Coordinator
2002,36,NFL,Tennessee Titans,Defensive Coordinator
2003,37,NFL,Tennessee Titans,Defensive Coordinator
2004,38,NFL,Tennessee Titans,Defensive Coordinator
2005,39,NFL,Tennessee Titans,Defensive Coordinator
2006,40,NFL,Tennessee Titans,Defensive Coordinator
2007,41,NFL,Tennessee Titans,Defensive Coordinator
2008,42,NFL,Tennessee Titans,Defensive Coordinator
2009,43,NFL,Detroit Lions,Head Coach
2010,44,NFL,Detroit Lions,Head Coach
2011,45,NFL,Detroit Lions,Head Coach
2012,46,NFL,Detroit Lions,Head Coach
2013,47,NFL,Detroit Lions,Head Coach
2014,48,NFL,Buffalo Bills,Defensive Coordinator
2016,50,NFL,Philadelphia Eagles,Defensive Coordinator
2017,51,NFL,Philadelphia Eagles,Defensive Coordinator
2018,52,NFL,Philadelphia Eagles,Defensive Coordinator
2019,53,NFL,Philadelphia Eagles,Defensive Coordinator
2020,54,NFL,Philadelphia Eagles,Defensive Coordinator
2021,55,NFL,Tennessee Titans,Senior Defensive Asst.
2022,56,NFL,Tennessee Titans,Senior Defensive Asst.
2023,57,NFL,Cleveland Browns,Defensive Coordinator
2024,58,NFL,Cleveland Browns,Defensive Coordinator
2025,59,NFL,Cleveland Browns,Defensive Coordinator
