,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2001,TEN,DC,31,16,20,22,18,8,12,13,11,12,12,23,10,19,8,9,15,9,25,25,25,5,5,27,6,20,27,31,27,25,30
1,2002,TEN,DC,32,4,11,11,15,17,13,10,4,11,11,26,10,23,20,16,12,9,10,11,14,2,2,2,7,17,22,25,27,12,18
2,2003,TEN,DC,32,3,3,4,9,8,5,4,9,26,20,31,18,22,5,3,2,1,12,13,8,1,1,6,7,7,27,30,16,8,25
3,2004,TEN,DC,32,26,20,27,21,11,15,23,23,14,16,7,20,2,10,8,23,22,27,30,13,9,18,26,26,13,23,26,25,13,30
4,2005,TEN,DC,32,26,20,29,21,17,21,13,25,23,27,20,14,5,9,17,9,17,19,29,27,19,22,15,25,17,5,17,32,30,27
5,2006,TEN,DC,32,13,13,26,31,27,16,14,14,5,9,7,4,28,30,30,23,24,32,31,15,29,30,30,26,17,25,27,25,13,28
6,2007,TEN,DC,32,7,16,16,12,21,22,23,1,5,5,21,27,28,27,32,17,20,5,8,6,3,5,12,15,13,26,10,14,2,3
7,2008,TEN,DC,32,1,2,1,15,21,14,3,5,7,2,11,6,27,27,28,3,16,7,2,3,8,6,11,6,13,30,9,2,6,4
8,2009,DET,HC,32,31,32,31,29,26,27,32,24,24,22,28,7,6,21,24,32,28,32,32,24,22,25,26,21,4,21,32,32,30,32
9,2010,DET,HC,32,20,11,17,20,17,15,12,24,23,18,20,9,3,12,11,16,26,21,19,11,19,24,27,24,4,10,16,13,19,21
10,2011,DET,HC,32,7,4,8,9,5,4,11,31,29,23,13,8,1,4,3,19,12,23,23,3,10,23,6,30,3,28,22,22,5,8
11,2012,DET,HC,32,28,30,23,2,3,17,27,25,23,6,18,27,1,2,18,22,14,13,27,27,14,16,18,24,25,12,14,19,23,18
12,2013,DET,HC,32,20,28,13,5,6,13,30,14,17,10,22,29,5,3,8,20,8,16,15,21,4,6,8,20,25,19,23,13,17,20
13,2014,BUF,DC,32,13,6,12,14,26,18,13,20,25,27,26,16,13,18,15,13,24,4,4,3,11,11,11,14,10,19,3,1,6,2
14,2016,PHI,DC,32,21,7,9,21,22,16,14,10,11,10,18,5,6,24,28,16,28,13,12,10,10,15,5,16,9,15,13,17,9,22
15,2017,PHI,DC,32,1,4,1,4,7,3,11,6,3,24,4,22,13,13,1,6,14,4,4,4,1,1,3,6,4,31,17,18,4,7
16,2018,PHI,DC,32,13,25,12,20,14,18,20,20,28,20,30,29,7,7,11,10,10,23,12,22,1,7,19,21,19,30,30,8,25,13
17,2019,PHI,DC,32,11,22,11,11,14,12,19,7,11,13,19,31,8,11,12,5,20,10,15,19,3,3,14,11,14,21,19,21,22,16
18,2020,PHI,DC,32,27,29,27,23,24,26,30,23,9,15,3,18,10,28,24,31,32,19,20,22,28,23,25,10,4,5,15,15,29,20
19,2023,CLE,DC,32,11,31,12,6,18,13,32,1,2,7,10,26,16,30,30,31,29,1,12,14,8,7,20,15,9,1,1,8,19,5
