,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
22,phi,260,5115.0,1039.0,4.9,28.0,11,299.0,334,550,3212,16,17,5.4,165.0,442,1903,13,4.3,101.0,119,1001,33.0,183.0,25.1,13.1,Own 29.8,2:47,5.8,28.0,1.39,229.0,82.0,35.8%,19.0,9.0,47.4%,46.0,22.0,47.8%
23,pit,251,4134.0,882.0,4.7,32.0,13,248.0,269,484,2835,14,19,5.4,146.0,357,1299,8,3.6,79.0,104,875,23.0,174.0,25.9,17.2,Own 28.3,2:23,5.2,23.7,1.28,193.0,63.0,32.6%,13.0,7.0,53.8%,33.0,16.0,48.5%
24,rai,442,5936.0,1072.0,5.5,18.0,9,367.0,315,510,3924,30,9,7.3,210.0,537,2012,21,3.7,115.0,102,837,42.0,183.0,37.2,9.8,Own 31.0,2:54,6.0,32.3,2.23,213.0,101.0,47.4%,15.0,7.0,46.7%,56.0,41.0,73.2%
25,ram,392,5353.0,1006.0,5.3,15.0,9,311.0,292,492,3174,24,6,6.0,172.0,480,2179,13,4.5,118.0,109,827,21.0,181.0,37.6,7.7,Own 32.4,2:37,5.8,29.5,1.94,209.0,76.0,36.4%,17.0,12.0,70.6%,56.0,31.0,55.4%
26,rav,268,4803.0,1009.0,4.8,34.0,13,272.0,276,501,3122,14,21,5.8,158.0,469,1681,9,3.6,88.0,101,796,26.0,199.0,24.6,16.6,Own 29.5,2:28,5.2,24.1,1.2,218.0,75.0,34.4%,8.0,2.0,25.0%,45.0,18.0,40.0%
27,sdg,313,5360.0,991.0,5.4,33.0,10,320.0,372,607,4053,19,23,6.4,200.0,355,1307,15,3.7,79.0,109,940,41.0,183.0,29.5,17.5,Own 29.2,2:30,5.6,29.2,1.63,196.0,69.0,35.2%,24.0,13.0,54.2%,54.0,27.0,50.0%
28,sea,373,5621.0,1047.0,5.4,35.0,12,311.0,340,559,3590,24,23,6.0,191.0,452,2031,17,4.5,102.0,91,748,18.0,193.0,35.2,18.1,Own 32.2,2:35,5.6,29.1,1.91,229.0,97.0,42.4%,9.0,6.0,66.7%,51.0,29.0,56.9%
29,sfo,452,5481.0,1014.0,5.4,21.0,12,322.0,308,490,3486,27,9,6.7,179.0,495,1995,22,4.0,121.0,107,867,22.0,195.0,37.9,9.7,Own 34.7,2:34,5.4,28.0,2.14,206.0,83.0,40.3%,9.0,6.0,66.7%,60.0,36.0,60.0%
30,tam,304,4552.0,961.0,4.7,27.0,11,258.0,247,436,2579,21,16,5.4,131.0,480,1973,8,4.1,101.0,112,897,26.0,187.0,26.2,13.4,Own 32.0,2:35,5.3,24.3,1.41,218.0,77.0,35.3%,8.0,3.0,37.5%,40.0,19.0,47.5%
31,was,265,4281.0,974.0,4.4,26.0,8,251.0,294,515,2977,17,18,5.4,153.0,419,1304,7,3.1,67.0,97,797,31.0,198.0,20.7,12.6,Own 30.9,2:19,5.0,21.6,1.11,226.0,70.0,31.0%,17.0,7.0,41.2%,37.0,19.0,51.4%
