,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1931,NFL,Providence Steam Roller,4,4,3,6th of 10,,78,127,-49,Robinson,,,,,7,1,6,1,1,7,1,10,-4.5,-2.6,-7.1,-3.7,-3.4
1,1930,NFL,Providence Steam Roller,6,4,1,5th of 11,,90,125,-35,Conzelman,,,,,7,1,7,1,1,8,1,11,-3.2,-3.3,-6.5,-4.3,-2.2
2,1929,NFL,Providence Steam Roller,4,6,2,7th of 12,,107,117,-10,Conzelman,,,,,5,1,8,1,1,7,1,12,-0.8,-1.2,-2.0,-1.6,-0.4
3,1928,NFL,Providence Steam Roller,8,1,2,1st of 10,Won Champ,128,42,86,Conzelman,,,,,3,1,1,1,1,2,1,10,7.8,-2.9,4.9,0.3,4.6
4,1927,NFL,Providence Steam Roller,8,5,1,5th of 12,,105,88,17,Conzelman,,,,,8,1,3,1,1,5,1,12,1.2,-0.2,1.0,-2.0,3.0
5,1926,NFL,Providence Steam Roller,5,7,1,11th of 22,,89,103,-14,Laird,,,,,9,1,12,1,1,11,1,22,-1.1,0.7,-0.3,-0.5,0.1
6,1925,NFL,Providence Steam Roller,6,5,1,10th of 20,,111,101,10,Golembeski,,,,,8,1,9,1,1,10,1,20,0.8,-2.3,-1.5,-1.4,-0.1
