,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1978,CHI,DC,28,18,17,19,18,22,20,9,4,4,5,14,1,28,26,27,21,21,12,9,26,14,12,11,14,18,15,15,12,24,11
1,1979,CHI,DC,28,6,4,6,11,24,18,2,2,5,11,15,4,26,26,20,6,20,6,3,6,9,9,2,9,22,11,5,15,2,6
2,1980,CHI,DC,28,17,21,12,15,24,17,17,5,4,2,5,12,27,28,27,17,20,10,4,24,14,14,6,18,13,6,8,10,22,11
3,1981,CHI,DC,28,22,15,23,25,26,27,13,3,11,17,25,9,15,27,26,16,28,19,14,12,17,20,9,19,4,20,14,18,18,12
4,1982,CHI,DC,28,21,13,22,25,26,22,8,15,18,21,19,5,22,23,16,9,23,16,13,20,11,5,1,7,22,21,21,21,10,17
5,1983,CHI,DC,28,13,12,12,5,6,20,8,5,1,20,2,7,23,17,16,11,10,8,5,15,9,11,22,15,13,10,12,1,19,10
6,1984,CHI,DC,28,7,10,9,1,7,16,6,1,1,1,4,14,27,26,24,4,13,1,3,16,1,1,2,5,17,2,2,1,10,3
7,1985,CHI,DC,28,1,1,1,1,7,2,4,1,1,1,5,9,26,20,22,6,4,1,1,1,1,1,1,6,5,18,3,3,1,2
8,1986,PHI,HC,28,20,7,22,25,25,24,3,10,9,25,12,2,17,26,16,7,28,17,12,14,7,19,15,24,20,17,14,11,9,10
9,1987,PHI,HC,28,15,2,20,17,10,12,14,8,9,17,15,20,4,14,6,6,25,23,25,1,5,9,20,13,1,28,28,26,10,13
10,1988,PHI,HC,28,5,2,7,19,10,5,1,19,17,8,8,2,4,8,6,7,22,27,14,2,11,6,6,3,22,28,28,20,2,26
11,1989,PHI,HC,28,3,1,11,10,12,13,9,4,5,12,8,17,9,18,8,6,25,8,5,1,6,7,1,10,1,18,12,24,1,7
12,1990,PHI,HC,28,8,8,6,3,3,3,8,3,1,21,2,17,13,13,2,8,14,12,12,16,1,1,6,2,20,28,25,22,9,13
13,1993,HOU,DC,28,1,18,3,3,3,4,28,24,12,12,4,26,1,3,5,26,11,14,4,2,1,1,10,3,4,26,23,7,1,13
14,1994,ARI,HC,28,15,8,17,10,25,27,14,9,17,11,27,6,15,22,28,21,26,3,4,4,6,4,1,2,11,2,4,8,1,17
15,1995,ARI,HC,30,28,16,29,27,24,27,30,25,29,29,26,28,14,17,23,28,20,26,30,1,28,30,16,30,1,1,15,30,8,30
