Year,Age,Level,Employer,Role
1957,26,High School,Gainesville (TX),Assistant
1958,27,High School,Gainesville (TX),Assistant
1959,28,High School,Gainesville (TX),Head Coach
1960,29,High School,Marshall (TX),Athletic Director
1961,30,College,Buffalo,Defensive Line
1962,31,College,Buffalo,Defensive Line
1963,32,College,Buffalo,Defensive Line
1964,33,College,Buffalo,Defensive Line
1965,34,College,Buffalo,Defensive Line
1966,35,College,Vanderbilt,Defensive Coordinator
1967,36,College,Pacific,Defensive Assistant
1968,37,AFL,New York Jets,Defensive Line
1969,38,AFL,New York Jets,Defensive Line
1970,39,NFL,New York Jets,Defensive Line
1971,40,NFL,New York Jets,Defensive Line
1972,41,NFL,New York Jets,Defensive Line
1973,42,NFL,New York Jets,Defensive Line
1974,43,NFL,New York Jets,Defensive Line
1975,44,NFL,New York Jets,Defensive Line
1976,45,NFL,Minnesota Vikings,Defensive Line
1977,46,NFL,Minnesota Vikings,Defensive Line
1978,47,NFL,Chicago Bears,Defensive Coordinator
1979,48,NFL,Chicago Bears,Defensive Coordinator
1980,49,NFL,Chicago Bears,Defensive Coordinator
1981,50,NFL,Chicago Bears,Defensive Coordinator
1982,51,NFL,Chicago Bears,Defensive Coordinator
1983,52,NFL,Chicago Bears,Defensive Coordinator
1984,53,NFL,Chicago Bears,Defensive Coordinator
1985,54,NFL,Chicago Bears,Defensive Coordinator
1986,55,NFL,Philadelphia Eagles,Head Coach
1987,56,NFL,Philadelphia Eagles,Head Coach
1988,57,NFL,Philadelphia Eagles,Head Coach
1989,58,NFL,Philadelphia Eagles,Head Coach
1990,59,NFL,Philadelphia Eagles,Head Coach
1993,62,NFL,Houston Oilers,Defensive Coordinator
1994,63,NFL,Arizona Cardinals,Head Coach
1995,64,NFL,Arizona Cardinals,Head Coach
