,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1925,32,Pottsville Maroons,NFL,12,10,2,0,.833,13.7,11.5,2.2,,,,,2,
1,1926,33,Pottsville Maroons,NFL,14,10,2,2,.833,4.5,0.9,3.5,,,,,3,
2,1927,34,Pottsville Maroons,NFL,13,5,8,0,.385,-5.3,-2.3,-3.0,,,,,8,
3,1928,35,New York Yankees,NFL,13,4,8,1,.333,-3.2,-0.4,-2.8,,,,,7,
4,1929,36,Boston Bulldogs,NFL,8,4,4,0,.500,-3.0,1.4,-4.4,,,,,4,
