,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1925,POT,HC,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,1926,POT,HC,22,3,1,3,1,1,5,1,1,1,3,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1927,POT,HC,12,8,1,10,1,1,10,1,1,1,10,1,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1
3,1928,NYY,HC,10,7,1,7,1,1,6,1,1,1,7,1,1,1,1,4,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1
4,1929,BOS,HC,12,4,1,4,1,1,3,1,1,1,4,1,1,1,1,11,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1
