Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1966,DEN,HC,9,7,9,9,9,9,9,9,6,9,8,9,9,7,9,9,8,8,6,8,7,8,8,8,8,1,2,3,7,9,5
1973,RAM,DC,26,1,1,1,1,1,1,1,1,2,2,5,1,23,13,3,2,1,1,4,5,1,1,1,5,6,11,7,4,8,6
1974,RAM,DC,26,4,16,6,4,9,13,5,2,7,7,16,14,22,13,10,4,10,3,1,22,1,1,1,5,26,16,12,18,8,7
1975,RAM,DC,26,1,3,3,4,9,11,2,4,7,8,11,1,25,15,19,7,9,2,1,11,2,2,1,4,9,13,3,3,10,4
1976,RAM,DC,28,6,4,3,2,5,3,17,2,4,4,11,21,24,9,9,8,4,4,3,2,1,2,5,3,15,25,14,4,1,8
1977,RAM,DC,28,4,4,1,2,5,4,7,2,3,4,7,20,17,13,11,2,13,4,2,7,5,4,3,11,11,19,9,7,6,5
1978,RAM,HC,28,2,15,6,3,6,9,21,6,12,22,19,24,7,7,21,15,13,1,4,8,2,3,2,8,22,6,2,9,4,1
1979,RAM,HC,28,11,21,13,6,13,15,27,7,7,15,10,22,15,17,12,28,18,7,11,10,19,10,5,8,14,10,9,24,7,7
1980,RAM,HC,28,4,9,3,2,2,3,9,1,1,10,2,8,23,11,1,10,6,4,7,7,3,12,10,25,6,18,3,17,9,1
1981,RAM,HC,28,22,24,19,20,24,21,23,7,8,10,18,6,19,26,24,27,26,8,17,23,25,23,21,18,19,1,2,8,21,8
1982,RAM,HC,28,25,24,25,23,6,9,17,22,15,3,7,14,10,4,15,18,7,27,28,23,25,22,26,18,22,14,24,25,20,28
