Year,Age,Level,Employer,Role
1937,24,College,Colorado,Freshman Coach
1938,25,College,Colorado,Freshman Coach
1939,26,College,Colorado,Freshman Coach
1940,27,College,Colorado,Freshman Coach
1946,33,College,Oklahoma,Assistant Coach
1947,34,College,Maryland,Assistant Coach
1948,35,College,Oklahoma,Assistant Coach
1949,36,AAFC,Baltimore Colts,Head Coach
