Year,Age,Level,Employer,Role
1920,26,College,Mount Union,Head Coach
1921,27,College,Mount Union,Head Coach
1922,28,College,Tufts,Head Coach
1923,29,College,Tufts,Head Coach
1924,30,College,Tufts,Head Coach
1925,31,College,Tufts,Head Coach
1926,32,College,Harvard,Freshmen Coach
1927,33,College,Harvard,Freshmen Coach
1928,34,College,Harvard,Freshmen Coach
1929,35,College,Harvard,Backfield Coach
1930,36,College,Harvard,Backfield Coach
1931,37,College,Harvard,Head Coach
1932,38,College,Harvard,Head Coach
1933,39,College,Harvard,Head Coach
1934,40,College,Harvard,Head Coach
1935,41,NFL,Boston Redskins,Head Coach
1940,46,AFL III,Boston Bears,Head Coach
