Year,Age,Level,Employer,Role
1946,25,AAFC,Chicago Rockets,Head Coach
1955,34,College,Univ. of Detroit,Assistant Coach
1956,35,College,Univ. of Detroit,Assistant Coach
1957,36,College,Univ. of Detroit,Assistant Coach
1958,37,NFL,Detroit Lions,Ends Coach
1959,38,NFL,Detroit Lions,Ends Coach
1960,39,AFL,Buffalo Bills,Line Coach
1961,40,AFL,Buffalo Bills,Line Coach
1962,41,College,Hiram Coll.,Head Coach
1963,42,College,Hiram Coll.,Head Coach
1964,43,College,Hiram Coll.,Head Coach
1965,44,College,Hiram Coll.,Head Coach
1966,45,College,Hiram Coll.,Head Coach
1967,46,College,Hiram Coll.,Head Coach
1968,47,College,Hiram Coll.,Head Coach
1969,48,College,Youngstown State,Assistant Coach
1970,49,College,Youngstown State,Assistant Coach
1971,50,College,Youngstown State,Assistant Coach
1972,51,College,Youngstown State,Assistant Coach
1973,52,College,Youngstown State,Assistant Coach
1974,53,College,Youngstown State,Assistant Coach
1975,54,College,Youngstown State,Assistant Coach
1976,55,College,Youngstown State,Assistant Coach
1977,56,College,Youngstown State,Assistant Coach
1978,57,College,Youngstown State,Assistant Coach
1979,58,College,Youngstown State,Assistant Coach
1980,59,College,Youngstown State,Assistant Coach
1981,60,College,Youngstown State,Assistant Coach
1982,61,College,Youngstown State,Assistant Coach
1983,62,College,Youngstown State,Assistant Coach
1984,63,College,Youngstown State,Assistant Coach
1985,64,College,Youngstown State,Assistant Coach
1986,65,College,Youngstown State,Assistant Coach
1987,66,College,Youngstown State,Coach Emeritus
1988,67,College,Youngstown State,Coach Emeritus
1989,68,College,Youngstown State,Coach Emeritus
1990,69,College,Youngstown State,Coach Emeritus
1991,70,College,Youngstown State,Coach Emeritus
