,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,301,5514,1037,5.3,21,6,311,367,565,3517,24,15,5.8,170,426,1997,7,4.7,108,101,869,33,181,32.6,11.6,Own 29.0,2:45,5.9,30.5,1.66,224,80,35.7%,29,18,62.1%,40,18,45.0%
1,2023,398,6170,1113,5.5,21,12,344,389,598,4246,26,9,6.6,203,467,1924,18,4.1,110,104,801,31,189,36.0,10.1,Own 29.4,2:49,6.0,32.6,2.01,232,89,38.4%,32,19,59.4%,51,27,52.9%
2,2022,384,5884,1002,5.9,24,10,318,310,505,3406,24,14,6.2,175,457,2478,17,5.4,119,80,762,24,188,37.2,11.2,Own 27.4,2:41,5.5,31.5,2.01,199,78,39.2%,15,6,40.0%,48,25,52.1%
3,2021,459,6122,1103,5.6,21,10,383,357,559,3761,27,11,6.3,199,509,2361,22,4.6,144,99,835,40,179,45.3,11.2,Own 30.0,2:58,6.4,34.2,2.45,216,107,49.5%,22,7,31.8%,67,43,64.2%
4,2020,426,5495,997,5.5,19,7,324,340,543,3578,29,12,6.3,186,427,1917,17,4.5,112,94,869,26,170,43.5,10.0,Own 32.1,2:46,6.1,32.2,2.39,204,89,43.6%,15,10,66.7%,55,32,58.2%
5,2019,345,5009,923,5.4,14,3,285,328,464,3204,21,11,6.5,156,429,1805,15,4.2,101,108,959,28,161,36.6,8.7,Own 29.5,2:56,5.9,31.1,1.99,195,88,45.1%,13,8,61.5%,40,24,60.0%
6,2018,329,5339,981,5.4,20,7,311,351,548,3646,23,13,6.2,178,395,1693,11,4.3,101,103,828,32,169,33.7,11.8,Own 29.1,2:46,6.0,31.5,1.82,202,79,39.1%,20,11,55.0%,50,25,50.0%
7,2017,272,5254,997,5.3,27,9,282,329,524,3156,17,18,5.6,153,430,2098,11,4.9,99,109,996,30,179,28.5,15.1,Own 27.1,2:41,5.7,29.3,1.48,221,86,38.9,20,6,30.0,36,13,36.1
8,2016,423,5554,1025,5.4,28,10,329,364,580,3987,21,18,6.5,204,410,1567,20,3.8,98,119,837,27,186,39.8,14.5,Own 31.8,2:36,5.7,29.9,2.08,208,83,39.9%,16,11,68.8%,66,36,54.5%
9,2015,398,5791,959,6.0,20,9,299,328,510,3786,22,11,7.0,170,417,2005,17,4.8,101,120,976,28,180,37.8,10.0,Own 31.2,2:33,5.5,32.1,2.00,195,74,37.9%,8,7,87.5%,46,23,50.0%
10,2014,348,5413,988,5.5,18,11,307,320,524,3427,24,7,6.2,168,438,1986,11,4.5,98,129,1067,41,179,35.8,9.5,Own 28.5,2:37,5.7,30.2,1.88,207,89,43.0%,10,2,20.0%,52,27,51.9%
11,2013,348,5864,959,6.1,17,6,327,364,548,4139,23,11,7.1,208,376,1725,14,4.6,98,100,850,21,166,36.1,9.6,Own 23.8,2:39,6.0,35.2,1.98,180,70,38.9%,13,6,46.2%,45,28,62.2%
12,2012,350,5223,1012,5.2,28,14,316,347,568,3681,28,14,6.1,201,406,1542,10,3.8,85,102,798,30,182,31.3,13.7,Own 26.4,2:34,5.7,28.3,1.77,214,90,42.1%,10,4,40.0%,40,28,70.0%
13,2011,377,5546,958,5.8,21,4,311,299,478,3591,29,17,7.0,186,448,1955,8,4.4,102,92,760,23,170,36.5,12.4,Own 26.7,2:44,5.8,32.4,1.96,195,96,49.2%,9,1,11.1%,49,29,59.2%
