,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,402,5511,1017,5.4,9,6,316,336,510,3629,23,3,6.6,176,463,1882,17,4.1,110,96,718,30,182,42.9,4.4,Own 29.5,2:51,5.80,29.9,2.14,221,89,40.3%,16,10,62.5%,50,28,56.0%
1,2023,346,5599,1106,5.1,21,13,319,409,632,3957,24,8,5.9,204,431,1642,11,3.8,89,79,725,26,190,34.7,10.5,Own 26.9,2:35,5.99,29.4,1.78,237,91,38.4%,32,15,46.9%,47,27,57.4%
2,2022,391,6108,1154,5.3,19,9,352,485,711,4584,26,10,6.1,232,404,1524,15,3.8,93,81,635,27,189,38.1,9.5,Own 29.6,2:46,6.28,32.3,2.01,257,112,43.6%,29,15,51.7%,62,33,53.2%
3,2021,474,6634,1128,5.9,22,7,401,443,674,4800,38,15,6.8,256,423,1834,18,4.3,112,116,1033,33,175,45.7,12.0,Own 29.4,2:52,6.60,37.9,2.65,221,100,45.2%,34,22,64.7%,75,48,64.0%
4,2020,384,6113,1127,5.4,16,6,373,413,627,4329,31,10,6.5,226,466,1784,12,3.8,111,85,710,36,175,38.3,8.6,Own 26.6,2:55,6.63,34.8,2.13,224,99,44.2%,25,12,48.0%,56,32,57.1%
5,2019,337,5879,997,5.9,31,11,349,394,597,4426,24,20,7.0,220,366,1453,12,4.0,90,103,872,39,160,38.8,18.1,Own 26.3,3:05,6.44,36.6,2.06,194,86,44.3%,18,10,55.6%,53,28,52.8%
6,2018,428,5962,945,6.3,19,7,338,348,512,4089,32,12,7.5,213,399,1873,16,4.7,100,113,967,25,170,42.4,10.0,Own 28.7,2:53,5.77,34.9,2.40,177,70,39.5%,8,7,87.5%,53,34,64.2%
7,2017,355,6026,1020,5.9,15,4,337,366,583,4431,28,11,7.4,220,419,1595,10,3.8,84,108,927,33,177,33.3,8.5,Own 26.1,2:45,5.94,34.1,1.88,209,84,40.2,11,5,45.5,47,22,46.8
8,2016,410,5708,1014,5.6,35,14,340,349,580,4198,33,21,6.8,214,398,1510,10,3.8,90,107,780,36,181,38.1,18.2,Own 28.1,2:42,5.80,31.4,2.09,200,85,42.5%,12,6,50.0%,62,32,51.6%
9,2015,320,5949,1100,5.4,24,11,344,442,667,4591,30,13,6.5,230,393,1358,4,3.5,79,117,942,35,178,33.7,12.4,Own 23.3,2:52,6.36,33.4,1.78,231,97,42.0%,15,5,33.3%,44,28,63.6%
10,2014,348,5465,1009,5.4,23,5,326,380,574,4098,31,18,6.7,214,398,1367,6,3.4,75,111,967,37,174,33.9,12.6,Own 26.4,2:51,5.95,31.3,1.87,215,97,45.1%,11,5,45.5%,48,26,54.2%
11,2013,396,6293,1060,5.9,21,10,373,378,544,4328,32,11,7.5,230,486,1965,9,4.0,104,95,765,39,167,44.9,11.4,Own 27.3,3:13,6.57,37.7,2.33,206,101,49.0%,6,5,83.3%,59,30,50.8%
12,2012,350,4756,988,4.8,26,11,293,338,528,3295,26,15,5.7,184,411,1461,4,3.6,81,103,796,28,180,30.6,13.9,Own 28.9,2:49,5.64,26.4,1.58,217,82,37.8%,11,6,54.5%,47,22,46.8%
