,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2024,WildCard,Sat,"January 11, 2025",boxscore,L,,@,Houston Texans,12,32,15,261,211,50,4,20,429,261,168,3,,,
1,2022,WildCard,Sat,"January 14, 2023",boxscore,L,,@,Jacksonville Jaguars,30,31,18,320,253,67,,24,390,273,117,5,,,
2,2018,WildCard,Sun,"January 6, 2019",boxscore,W,,@,Baltimore Ravens,23,17,14,243,154,89,1,11,229,139,90,3,,,
3,2018,Division,Sun,"January 13, 2019",boxscore,L,,@,New England Patriots,28,41,22,335,316,19,2,30,498,343,155,,,,
4,2013,WildCard,Sun,"January 5, 2014",boxscore,W,,@,Cincinnati Bengals,27,10,16,318,122,196,,27,439,326,113,4,,,
5,2013,Division,Sun,"January 12, 2014",boxscore,L,,@,Denver Broncos,17,24,13,259,194,65,,26,363,230,133,2,,,
6,2009,Division,Sun,"January 17, 2010",boxscore,L,,,New York Jets,14,17,18,344,283,61,2,14,262,93,169,1,,,
7,2008,WildCard,Sat,"January 3, 2009",boxscore,W,OT,,Indianapolis Colts,23,17,26,357,190,167,2,17,366,302,64,,,,
8,2008,Division,Sun,"January 11, 2009",boxscore,L,,@,Pittsburgh Steelers,24,35,15,290,275,15,2,22,342,177,165,,,,
9,2007,WildCard,Sun,"January 6, 2008",boxscore,W,,,Tennessee Titans,17,6,17,350,282,68,1,15,248,129,119,2,,,
10,2007,Division,Sun,"January 13, 2008",boxscore,W,,@,Indianapolis Colts,28,24,20,411,312,99,1,29,446,402,44,3,,,
11,2007,ConfChamp,Sun,"January 20, 2008",boxscore,L,,@,New England Patriots,12,21,17,311,207,104,2,25,347,198,149,3,,,
12,2006,Division,Sun,"January 14, 2007",boxscore,L,,,New England Patriots,21,24,21,352,204,148,4,18,327,276,51,3,,,
13,2004,WildCard,Sat,"January 8, 2005",boxscore,L,OT,,New York Jets,17,20,24,408,308,100,1,20,396,270,126,,,,
14,1995,WildCard,Sun,"December 31, 1995",boxscore,L,,,Indianapolis Colts,20,35,27,429,284,145,4,19,333,155,178,1,,,
15,1994,Division,Sun,"January 8, 1995",boxscore,W,,,Miami Dolphins,22,21,28,466,264,202,3,17,282,256,26,,,,
16,1994,ConfChamp,Sun,"January 15, 1995",boxscore,W,,@,Pittsburgh Steelers,17,13,13,226,160,66,1,22,415,349,66,1,,,
17,1994,SuperBowl,Sun,"January 29, 1995",boxscore,L,,N,San Francisco 49ers,26,49,20,354,287,67,3,28,455,316,139,,,,
18,1992,WildCard,Sat,"January 2, 1993",boxscore,W,,,Kansas City Chiefs,17,0,18,342,150,192,1,17,251,190,61,3,,,
19,1992,Division,Sun,"January 10, 1993",boxscore,L,,@,Miami Dolphins,0,31,10,202,132,70,5,18,324,167,157,1,,,
20,1982,WildCard,Sun,"January 9, 1983",boxscore,W,,@,Pittsburgh Steelers,31,28,29,479,333,146,2,26,422,325,97,2,,,
21,1982,Division,Sun,"January 16, 1983",boxscore,L,,@,Miami Dolphins,13,34,17,247,168,79,7,29,413,199,214,2,,,
22,1981,Division,Sat,"January 2, 1982",boxscore,W,OT,@,Miami Dolphins,41,38,34,564,415,149,4,25,472,394,78,3,,,
23,1981,ConfChamp,Sun,"January 10, 1982",boxscore,L,,@,Cincinnati Bengals,7,27,18,301,173,128,4,19,318,175,143,1,,,
24,1980,Division,Sat,"January 3, 1981",boxscore,W,,,Buffalo Bills,20,14,21,397,301,96,3,17,244,147,97,3,,,
25,1980,ConfChamp,Sun,"January 11, 1981",boxscore,L,,,Oakland Raiders,27,34,26,434,351,83,3,21,362,224,138,,,,
26,1979,Division,Sat,"December 29, 1979",boxscore,L,,,Houston Oilers,14,17,25,380,317,63,5,15,259,111,148,1,,,
27,1965,Championship,Sun,"December 26, 1965",boxscore,L,,,Buffalo Bills,0,23,12,223,119,104,2,23,260,152,108,1,,,
28,1964,Championship,Sat,"December 26, 1964",boxscore,L,,@,Buffalo Bills,7,20,15,259,135,124,3,21,387,168,219,,,,
29,1963,Championship,Sun,"January 5, 1964",boxscore,W,,,Boston Patriots,51,10,21,610,292,318,1,14,261,186,75,2,,,
30,1961,Championship,Sun,"December 24, 1961",boxscore,L,,,Houston Oilers,3,10,15,256,177,79,6,18,256,160,96,7,,,
31,1960,Championship,Sun,"January 1, 1961",boxscore,L,,@,Houston Oilers,16,24,21,333,143,190,2,17,401,301,100,,,,
