Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1990,44,NYJ,NFL,16,6,10,0,.375,-4.6,-2.0,-2.6,,,,,4,,,
1991,45,NYJ,NFL,16,8,8,0,.500,-2.4,-1.2,-1.2,1,0,1,.000,2,,,
1992,46,NYJ,NFL,16,4,12,0,.250,-6.9,-6.0,-0.9,,,,,4,,,
1993,47,NYJ,NFL,16,8,8,0,.500,0.8,-2.1,2.9,,,,,3,,,
1996,50,CIN,NFL,9,7,2,0,.778,-0.1,2.5,-2.6,,,,,3,,,
1997,51,CIN,NFL,16,7,9,0,.438,-2.2,1.8,-4.0,,,,,4,,,
1998,52,CIN,NFL,16,3,13,0,.188,-11.0,-4.5,-6.5,,,,,5,,,
1999,53,CIN,NFL,16,4,12,0,.250,-11.5,-3.3,-8.2,,,,,5,2,0,
2000,54,CIN,NFL,3,0,3,0,.000,-10.5,-8.1,-2.4,,,,,5,2,1,Fired after week 4
