Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1986,CIN,OC,28,8,20,13,2,1,3,13,6,2,1,1,13,20,3,6,12,1,20,23,24,21,22,26,22,25,11,10,6,20,16
1987,CIN,OC,28,24,21,25,6,5,20,8,2,4,12,13,4,18,9,20,17,7,8,24,27,8,8,17,9,22,6,14,17,23,19
1988,CIN,OC,28,1,5,2,4,1,1,3,2,1,1,1,10,27,11,4,2,1,15,16,10,15,18,20,22,16,20,10,12,6,8
1989,CIN,OC,28,15,12,3,6,3,4,9,6,1,6,2,25,14,7,2,3,9,15,7,11,17,26,3,28,9,7,8,17,9,12
1990,NYJ,HC,28,17,6,20,22,16,19,4,10,4,9,4,7,17,21,24,4,21,23,17,21,12,19,18,28,20,23,24,22,12,19
1991,NYJ,HC,28,14,4,13,9,6,11,6,2,5,6,8,7,12,12,25,4,17,12,10,7,3,4,5,10,4,25,24,21,11,18
1992,NYJ,HC,28,25,14,25,18,20,25,24,17,12,21,13,16,10,22,27,24,23,16,18,3,18,19,16,20,5,11,13,13,8,17
1993,NYJ,HC,28,14,7,12,6,9,21,8,3,9,3,20,18,21,10,20,6,5,8,6,5,9,5,9,4,3,11,17,6,9,21
1994,CIN,OC,28,26,28,28,16,18,23,27,25,18,27,8,27,12,18,12,21,24,15,26,28,26,23,23,17,26,8,9,16,27,16
1995,CIN,OC,30,18,28,19,29,17,14,18,29,24,26,13,19,12,11,4,16,14,30,24,26,24,26,7,27,19,26,29,20,28,25
1996,CIN,HC,30,15,1,14,18,10,5,7,8,13,10,16,4,7,12,7,10,20,25,23,1,15,12,22,11,22,28,29,16,1,24
,CIN,OC,30,15,1,14,18,10,5,7,8,13,10,16,4,7,12,7,10,20,25,23,1,15,12,22,11,22,28,29,16,1,24
1997,CIN,HC,30,17,14,21,24,10,10,7,13,9,1,7,16,21,13,12,1,9,28,27,25,28,29,19,25,25,19,21,29,21,21
1998,CIN,HC,30,28,17,30,26,17,27,7,24,19,25,13,12,15,17,17,3,20,28,30,27,30,30,29,29,23,1,12,17,21,30
1999,CIN,HC,31,28,19,30,21,15,24,16,14,6,17,3,21,12,23,22,16,24,25,31,22,24,16,30,9,7,12,28,29,26,30
2000,CIN,HC,31,27,28,29,28,29,30,24,9,2,17,5,31,27,31,31,8,31,22,21,27,28,24,12,7,18,18,23,27,30,22
2002,DAL,OC,32,27,20,28,28,30,31,24,22,19,30,15,27,28,31,31,17,30,18,13,11,24,15,5,3,17,28,19,17,8,13
