Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1958,SFO,DC,12,7,9,9,6,4,8,6,9,7,3,4,2,3,5,8,12,6,8,10,10,4,10,8,12,10,10,3,12,7,5
1959,GNB,DC,12,4,8,7,6,6,8,6,5,3,3,4,6,11,8,5,6,4,3,6,10,10,7,6,7,6,9,2,4,8,2
1960,GNB,DC,13,3,3,2,4,4,2,3,2,2,1,3,6,11,7,11,3,6,7,2,5,2,3,1,4,3,13,9,8,5,5
1961,GNB,DC,14,1,1,1,3,4,1,1,3,1,1,1,1,14,9,9,2,3,6,2,2,4,7,6,7,7,13,4,2,2,3
1962,GNB,DC,14,1,1,1,1,4,1,1,2,1,1,1,5,14,10,12,1,6,2,1,1,4,5,1,3,4,3,1,1,1,1
1963,GNB,DC,14,2,5,2,2,6,2,12,2,2,1,2,13,13,7,5,6,3,2,2,4,7,3,3,2,2,6,2,1,6,2
1964,GNB,DC,14,4,3,3,1,5,5,2,3,1,2,2,6,14,12,11,1,7,1,2,2,3,3,8,4,1,1,1,1,10,1
1965,GNB,DC,14,2,1,3,12,12,8,2,6,10,6,11,4,14,11,12,3,8,3,1,1,12,13,2,9,2,7,1,1,1,1
1966,GNB,DC,15,1,2,2,4,8,4,1,3,8,3,13,14,15,6,7,1,1,3,1,4,8,6,3,5,8,3,1,1,2,1
1967,GNB,DC,16,3,5,3,3,9,9,8,4,2,2,4,2,15,11,11,13,6,1,3,4,11,13,3,15,5,3,1,2,5,1
1968,GNB,HC,16,10,9,5,6,10,9,7,8,10,9,10,15,15,10,7,1,5,3,4,10,13,9,6,7,4,2,1,4,10,5
1969,GNB,HC,16,8,15,6,5,11,12,11,7,8,9,10,16,15,11,9,5,2,4,3,13,15,12,3,9,16,4,2,3,7,2
1970,GNB,HC,26,15,18,22,23,24,24,22,11,16,21,18,22,18,24,23,21,24,16,19,10,14,19,18,18,3,11,13,4,13,12
1971,SDG,DC,26,14,20,15,11,2,7,19,23,19,15,12,11,2,1,1,23,3,24,23,19,22,24,26,25,24,10,16,11,11,20
1972,NWE,HC,26,23,25,26,26,21,24,21,24,22,15,16,5,2,15,21,25,24,26,26,24,25,26,26,26,14,8,24,26,24,26
