Year,Age,Level,Employer,Role
1935,22,College,Missouri,Line Coach
1936,23,College,Missouri,Line Coach
1937,24,College,Missouri,Line Coach
1938,25,College,Missouri,Line Coach
1939,26,College,Missouri,Line Coach
1940,27,College,Stanford,Line Coach
1941,28,College,Stanford,Line Coach
1946,33,College,Stanford,Line Coach
1947,34,College,Stanford,Line Coach
1948,35,College,Stanford,Line Coach
1949,36,College,Stanford,Line Coach
1950,37,College,Stanford,Line Coach
1951,38,NFL,San Francisco 49ers,Defensive Assistant
1952,39,NFL,San Francisco 49ers,Defensive Assistant
1953,40,NFL,San Francisco 49ers,Defensive Assistant
1954,41,NFL,San Francisco 49ers,Defensive Assistant
1955,42,NFL,San Francisco 49ers,Defensive Assistant
1956,43,NFL,San Francisco 49ers,Defensive Assistant
1957,44,NFL,San Francisco 49ers,Defensive Assistant
1958,45,NFL,San Francisco 49ers,Defensive Coordinator
1959,46,NFL,Green Bay Packers,Defensive Coordinator
1960,47,NFL,Green Bay Packers,Defensive Coordinator
1961,48,NFL,Green Bay Packers,Defensive Coordinator
1962,49,NFL,Green Bay Packers,Defensive Coordinator
1963,50,NFL,Green Bay Packers,Defensive Coordinator
1964,51,NFL,Green Bay Packers,Defensive Coordinator
1965,52,NFL,Green Bay Packers,Defensive Coordinator
1966,53,NFL,Green Bay Packers,Defensive Coordinator
1967,54,NFL,Green Bay Packers,Defensive Coordinator
1968,55,NFL,Green Bay Packers,Head Coach
1969,56,NFL,Green Bay Packers,Head Coach
1970,57,NFL,Green Bay Packers,Head Coach
1971,58,NFL,San Diego Chargers,Defensive Coordinator
1972,59,NFL,New England Patriots,Head Coach
