,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1994,43,NYJ,NFL,16,6,10,0,.375,-2.2,-3.7,1.5,,,,,5,,,
1,1997,46,NWE,NFL,16,10,6,0,.625,5.3,2.3,3.0,2,1,1,.500,1,,,
2,1998,47,NWE,NFL,16,9,7,0,.563,3.9,1.1,2.8,1,0,1,.000,4,,,
3,1999,48,NWE,NFL,16,8,8,0,.500,2.2,-1.0,3.2,,,,,5,5,2,
4,2010,59,SEA,NFL,16,7,9,0,.438,-9.4,-3.9,-5.5,2,1,1,.500,1,14,6,
5,2011,60,SEA,NFL,16,7,9,0,.438,0.8,-0.5,1.3,,,,,3,7,4,
6,2012,61,SEA,NFL,16,11,5,0,.688,12.2,4.5,7.7,2,1,1,.500,2,3,0,
7,2013,62,SEA,NFL,16,13,3,0,.813,13.0,4.1,8.9,3,3,0,1.000,1,11,7,Super Bowl Champions
8,2014,63,SEA,NFL,16,12,4,0,.750,9.5,2.4,7.1,3,2,1,.667,1,7,2,NFC Champions
9,2015,64,SEA,NFL,16,10,6,0,.625,11.3,5.4,6.0,2,1,1,.500,2,11,5,
10,2016,65,SEA,NFL,16,10,5,1,.656,2.1,-2.4,4.5,2,1,1,.500,1,8,4,
11,2017,66,SEA,NFL,16,9,7,0,.563,1.9,0.7,1.2,,,,,2,5,3,
12,2018,67,SEA,NFL,16,10,6,0,.625,4.5,3.0,1.5,1,0,1,.000,2,6,4,
13,2019,68,SEA,NFL,16,11,5,0,.688,2.7,2.9,-0.2,2,1,1,.500,2,14,5,
14,2020,69,SEA,NFL,16,12,4,0,.750,5.5,4.8,0.7,1,0,1,.000,1,9,5,
15,2021,70,SEA,NFL,17,7,10,0,.412,1.9,0.4,1.5,,,,,4,5,2,
16,2022,71,SEA,NFL,17,9,8,0,.529,-0.5,1.9,-2.4,1,0,1,.000,2,6,1,
17,2023,72,SEA,NFL,7,5,2,0,.714,2.8,2.1,0.7,,,,,1,3,2,
