Year,Age,Level,Employer,Role
1973,22,College (FBS),Pacific,Graduate Assistant
1974,23,College (FBS),Pacific,Graduate Assistant
1975,24,College (FBS),Pacific,Graduate Assistant
1976,25,College (FBS),Pacific,Graduate Assistant
1977,26,College (FBS),Arkansas,Graduate Assistant
1978,27,College (FBS),Iowa State,Secondary Coordinator
1979,28,College (FBS),Ohio State,Secondary Coordinator
1980,29,College (FBS),NC State,Defensive Coordinator
1981,30,College (FBS),NC State,Defensive Coordinator
1982,31,College (FBS),NC State,Defensive Coordinator
1983,32,College (FBS),Pacific,Offensive Coordinator
1984,33,NFL,Buffalo Bills,Defensive Backs
1985,34,NFL,Minnesota Vikings,Defensive Backs
1986,35,NFL,Minnesota Vikings,Defensive Backs
1987,36,NFL,Minnesota Vikings,Defensive Backs
1988,37,NFL,Minnesota Vikings,Defensive Backs
1989,38,NFL,Minnesota Vikings,Defensive Backs
1990,39,NFL,New York Jets,Defensive Coordinator
1991,40,NFL,New York Jets,Defensive Coordinator
1992,41,NFL,New York Jets,Defensive Coordinator
1993,42,NFL,New York Jets,Defensive Coordinator
1994,43,NFL,New York Jets,Head Coach
1995,44,NFL,San Francisco 49ers,Defensive Coordinator
1996,45,NFL,San Francisco 49ers,Defensive Coordinator
1997,46,NFL,New England Patriots,Head Coach
1998,47,NFL,New England Patriots,Head Coach
1999,48,NFL,New England Patriots,Head Coach
2001,50,College (FBS),USC,Head Coach
2002,51,College (FBS),USC,Head Coach
2003,52,College (FBS),USC,Head Coach
2004,53,College (FBS),USC,Head Coach
2005,54,College (FBS),USC,Head Coach
2006,55,College (FBS),USC,Head Coach
2007,56,College (FBS),USC,Head Coach
2008,57,College (FBS),USC,Head Coach
2009,58,College (FBS),USC,Head Coach
2010,59,NFL,Seattle Seahawks,Head Coach
2011,60,NFL,Seattle Seahawks,Head Coach
2012,61,NFL,Seattle Seahawks,Head Coach
2013,62,NFL,Seattle Seahawks,Head Coach
2014,63,NFL,Seattle Seahawks,Head Coach
2015,64,NFL,Seattle Seahawks,Head Coach
2016,65,NFL,Seattle Seahawks,Head Coach
2017,66,NFL,Seattle Seahawks,Head Coach
2018,67,NFL,Seattle Seahawks,Head Coach
2019,68,NFL,Seattle Seahawks,Head Coach
2020,69,NFL,Seattle Seahawks,Head Coach
2021,70,NFL,Seattle Seahawks,Head Coach
2022,71,NFL,Seattle Seahawks,Head Coach
2023,72,NFL,Seattle Seahawks,Head Coach
2025,74,NFL,Las Vegas Raiders,Head Coach
