,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,453,6460,1092,5.9,15,8,376,383,588,4281,29,7,7.0,228,480,2179,23,4.5,114,90,773,34,176,43.2,8.0,Own 30.1,2:53,6.38,36.6,2.48,211,86,40.8%,37,20,54.1%,68,45,66.2%
1,2021,325,5484,1056,5.2,23,9,329,396,593,3598,23,14,5.7,193,427,1886,12,4.4,104,105,824,32,178,34.3,12.9,Own 29.1,2:47,6.10,30.8,1.81,213,74,34.7%,41,21,51.2%,45,21,46.7%
2,2020,377,5603,991,5.7,21,8,350,374,582,4104,27,13,6.6,220,367,1499,17,4.1,93,95,860,37,169,38.5,11.2,Own 28.3,2:38,6.00,33.0,2.20,192,79,41.1%,20,10,50.0%,53,35,66.0%
3,2019,341,5549,1021,5.4,23,8,313,344,571,3900,28,15,6.4,196,407,1649,7,4.1,82,113,937,35,183,33.3,12.0,Own 28.6,2:33,5.75,30.3,1.77,220,90,40.9%,13,5,38.5%,42,25,59.5%
4,2018,324,5236,1019,5.1,19,7,325,375,574,3576,22,12,5.8,201,404,1660,11,4.1,91,94,852,33,173,35.3,11.0,Own 27.7,2:54,6.13,30.3,1.82,208,75,36.1%,18,11,61.1%,49,26,53.1%
5,2017,410,5404,980,5.5,22,11,296,374,570,4183,29,11,6.8,210,363,1221,10,3.4,58,104,968,28,185,37.3,11.9,Own 29.9,2:35,5.50,29.1,1.96,209,81,38.8,9,1,11.1,46,26,56.5
6,2016,346,5421,981,5.5,15,5,329,388,594,4111,24,10,6.5,217,350,1310,9,3.7,76,100,861,36,156,41.0,9.0,Own 25.7,3:05,6.51,34.8,2.08,195,83,42.6%,10,7,70.0%,48,26,54.2%
7,2015,358,5547,1030,5.4,24,10,337,420,632,4212,33,14,6.2,236,354,1335,7,3.8,71,104,930,30,179,34.6,12.3,Own 25.6,2:49,5.89,31.0,1.93,203,75,36.9%,14,7,50.0%,49,34,69.4%
8,2014,321,5452,1045,5.2,20,8,310,365,604,4030,22,12,6.2,210,396,1422,11,3.6,72,118,989,28,179,32.4,9.5,Own 29.9,2:50,6.05,30.4,1.71,223,86,38.6%,20,10,50.0%,47,25,53.2%
9,2013,395,6274,1102,5.7,34,15,350,371,634,4482,29,19,6.8,221,445,1792,15,4.0,106,110,925,23,196,32.1,17.3,Own 27.1,2:38,5.74,31.8,1.86,221,95,43.0%,14,5,35.7%,56,35,62.5%
10,2012,372,6540,1160,5.6,33,16,382,445,740,4927,22,17,6.4,272,391,1613,17,4.1,84,103,944,26,197,36.0,15.2,Own 25.1,2:36,6.07,33.2,1.87,228,97,42.5%,15,6,40.0%,55,33,60.0%
11,2011,474,6337,1058,6.0,23,7,349,423,666,4814,41,16,6.9,244,356,1523,9,4.3,71,128,1075,34,197,37.6,10.7,Own 28.7,2:27,5.52,32.2,2.14,212,76,35.8%,14,8,57.1%,58,37,63.8%
12,2010,362,5423,1064,5.1,25,9,304,383,633,3810,26,16,5.8,199,404,1613,11,4.0,83,136,1018,22,193,32.1,12.4,Own 29.3,2:28,5.67,28.1,1.73,242,97,40.1%,16,10,62.5%,45,29,64.4%
13,2009,262,4784,1037,4.6,41,9,281,316,585,3168,16,32,5.0,168,409,1616,9,4.0,82,98,768,31,194,23.7,20.1,Own 27.7,2:23,5.49,24.6,1.23,234,84,35.9%,26,7,26.9%,36,17,47.2%
14,2008,268,4292,913,4.7,29,10,234,281,509,2960,18,19,5.3,143,352,1332,10,3.8,70,88,729,21,187,26.2,15.0,Own 27.9,2:19,5.01,22.9,1.39,205,59,28.8%,20,10,50.0%,31,19,61.3%
15,2007,346,5166,965,5.4,36,14,303,368,587,3878,19,22,6.0,203,324,1288,13,4.0,73,100,676,27,189,32.3,18.5,Own 29.7,2:21,5.29,27.3,1.65,190,62,32.6%,10,4,40.0%,50,25,50.0%
16,2006,305,4949,963,5.1,39,17,290,372,596,3820,21,22,5.8,208,304,1129,9,3.7,53,116,939,29,185,31.9,21.1,Own 29.7,2:24,5.38,26.7,1.61,190,62,32.6%,22,9,40.9%,45,18,40.0%
17,2005,254,4319,955,4.5,30,12,258,297,520,2848,15,18,5.2,151,404,1471,10,3.6,69,115,838,38,179,24.6,15.6,Own 30.5,2:38,5.47,24.2,1.30,224,87,38.8%,17,7,41.2%,36,18,50.0%
18,2004,296,4693,949,4.9,20,7,263,285,505,2916,19,13,5.4,142,407,1777,7,4.4,92,121,1000,29,188,26.6,10.1,Own 29.7,2:24,5.20,24.9,1.35,210,66,31.4%,16,6,37.5%,43,19,44.2%
19,2003,270,4262,975,4.4,28,4,250,319,588,2924,17,24,4.9,152,376,1338,5,3.6,69,107,859,29,190,23.2,13.7,Own 32.4,2:23,5.25,22.4,1.16,228,80,35.1%,20,8,40.0%,38,18,47.4%
