,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,427,6670,1076,6.2,22,10,377,353,560,4179,26,12,7.0,209,477,2491,22,5.2,135,103,818,33,177,41.2,11.9,Own 26.8,2:53,6.2,37.7,2.32,204,92,45.1%,27,15,55.6%,58,37,63.8%
1,2021,467,6456,1092,5.9,19,8,372,359,544,4160,31,11,7.2,211,518,2296,19,4.4,135,87,818,26,180,47.8,10.6,Own 28.9,2:58,6.3,35.7,2.54,204,92,45.1%,14,9,64.3%,60,42,70.0%
2,2020,519,6716,1068,6.3,12,5,415,383,557,4558,38,7,7.8,253,487,2158,27,4.4,127,103,797,35,169,47.9,7.1,Own 27.9,3:02,6.4,39.8,2.98,193,91,47.2%,18,11,61.1%,65,47,72.3%
3,2019,423,6406,1094,5.9,18,11,365,381,611,4551,33,7,7.1,232,455,1855,13,4.1,94,117,960,39,181,40.3,8.8,Own 26.1,2:47,6.2,35.4,2.23,214,94,43.9%,15,7,46.7%,57,33,57.9%
4,2018,360,5360,942,5.7,14,7,315,323,496,3599,29,7,6.7,191,403,1761,11,4.4,88,94,886,36,171,34.5,7.0,Own 27.5,2:41,5.7,31.3,1.97,186,69,37.1%,17,9,52.9%,47,27,57.4%
5,2017,376,5692,1037,5.5,32,13,349,366,570,3892,21,19,6.4,205,432,1800,18,4.2,109,110,971,35,192,32.3,16.1,Own 27.7,2:31,5.6,29.7,1.78,194,74,38.1,15,8,53.3,55,34,61.8
6,2016,358,5676,964,5.9,14,4,333,399,549,3975,33,10,6.9,206,389,1701,8,4.4,99,122,979,28,160,39.4,8.8,Own 27.2,3:02,6.2,35.5,2.21,198,90,45.5%,8,3,37.5%,53,36,67.9%
7,2015,400,5597,999,5.6,19,10,319,360,528,3789,27,9,6.6,191,428,1808,18,4.2,96,96,785,32,186,38.2,9.1,Own 29.2,2:31,5.5,30.0,2.13,200,82,41.0%,8,5,62.5%,59,37,62.7%
8,2014,282,4815,984,4.9,27,7,310,383,592,3706,23,20,5.8,209,350,1109,8,3.2,59,99,849,42,182,26.9,14.3,Own 26.1,2:29,5.5,26.3,1.49,207,77,37.2%,15,6,40.0%,49,26,53.1%
9,2013,376,5546,982,5.6,22,7,290,338,572,3950,24,15,6.5,197,377,1596,10,4.2,62,87,681,31,199,35.7,11.1,Own 28.0,2:16,5.1,27.7,1.75,211,64,30.3%,12,9,75.0%,42,16,38.1%
