Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1923,30,LOU,NFL,3,0,3,0,.000,-25.1,-9.0,-16.1,,,,,19,
1926,33,BUF,NFL,10,4,4,2,.500,-1.8,-2.8,0.9,,,,,9,
