Year,Age,Level,Employer,Role
1920,27,College,Baylor,Assistant Coach
1923,30,NFL,Louisville Brecks,Head Coach
1924,31,College,Centre Coll.,Assistant Coach
1926,33,NFL,Buffalo Rangers,Head Coach
1928,35,College,St. Mary's (TX),Head Coach
1933,40,Military,Blanco Tree Army Reserve,Head Coach
