Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2010,44,DAL,NFL,8,5,3,0,.625,-2.2,2.5,-4.7,,,,,3,4,3,Coach starting Week 10
2011,45,DAL,NFL,16,8,8,0,.500,1.6,0.7,0.9,,,,,3,4,2,
2012,46,DAL,NFL,16,8,8,0,.500,0.3,1.4,-1.2,,,,,3,5,5,
2013,47,DAL,NFL,16,8,8,0,.500,-0.7,2.7,-3.4,,,,,2,1,0,
2014,48,DAL,NFL,16,12,4,0,.750,5.4,5.3,0.1,2,1,1,.500,1,7,4,
2015,49,DAL,NFL,16,4,12,0,.250,-6.9,-7.0,0.1,,,,,4,7,3,
2016,50,DAL,NFL,16,13,3,0,.813,7.0,4.1,2.9,1,0,1,.000,1,3,1,
2017,51,DAL,NFL,16,9,7,0,.563,1.6,0.4,1.2,,,,,2,5,1,
2018,52,DAL,NFL,16,10,6,0,.625,1.1,-1.9,2.9,2,1,1,.500,1,5,2,
2019,53,DAL,NFL,16,8,8,0,.500,5.3,3.8,1.5,,,,,2,4,3,
