,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2007,DAL,OC,32,2,8,4,4,3,2,7,21,17,10,10,1,18,4,2,21,2,9,13,15,5,6,17,13,18,29,13,8,6,7
1,2008,DAL,OC,32,12,30,19,7,13,18,31,25,21,22,12,26,8,9,4,29,11,8,20,20,7,12,8,20,5,14,5,10,30,5
2,2009,DAL,OC,32,5,13,8,2,2,14,4,17,7,15,2,11,13,6,13,3,5,9,2,27,2,4,4,9,17,26,20,10,26,10
3,2010,DAL,HC,32,20,13,21,12,7,7,20,15,16,21,15,17,9,6,7,20,7,23,31,8,7,12,12,18,17,20,26,31,7,28
4,,DAL,OC,32,20,13,21,12,7,7,20,15,16,21,15,17,9,6,7,20,7,23,31,8,7,12,12,18,17,20,26,31,7,28
5,2011,DAL,HC,32,13,10,12,8,11,15,7,24,18,30,9,16,11,7,5,5,11,14,16,16,7,7,6,12,14,20,23,16,17,23
6,2012,DAL,HC,32,15,27,19,10,6,15,25,31,31,27,30,17,3,3,6,28,10,19,24,28,19,22,26,27,20,5,19,13,31,25
7,2013,DAL,HC,32,14,9,15,31,16,5,8,31,24,18,8,8,13,14,3,10,13,32,26,13,14,27,26,30,3,29,30,30,17,29
8,2014,DAL,HC,32,1,9,5,7,7,5,20,3,2,5,3,29,31,16,4,7,3,19,15,2,6,8,31,17,5,18,26,6,7,27
9,2015,DAL,HC,32,29,32,29,20,22,31,31,18,9,21,5,22,23,27,29,31,20,17,16,32,26,22,28,19,30,2,5,3,30,24
10,2016,DAL,HC,32,2,9,3,6,5,5,5,1,2,2,3,13,30,23,14,3,5,14,5,19,1,1,3,11,8,30,26,17,27,14
11,2017,DAL,HC,32,11,16,15,11,14,14,14,5,2,2,3,18,29,26,18,16,18,8,13,16,8,8,3,18,7,22,11,26,24,8
12,2018,DAL,HC,32,8,12,14,15,22,22,5,10,10,16,14,15,21,23,22,5,22,7,6,16,12,5,10,5,7,14,13,8,26,15
13,2019,DAL,HC,32,14,18,6,2,1,6,9,8,5,7,5,5,10,2,5,14,1,9,11,25,13,11,17,8,10,20,10,8,30,8
14,2020,NYG,OC,32,25,28,31,28,31,31,29,32,32,27,32,27,8,26,29,27,27,12,17,18,28,20,10,9,16,7,10,17,13,20
