Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2016,39,NYG,NFL,16,11,5,0,.688,2.1,-3.2,5.4,1,0,1,.000,2,3,1,
2017,40,NYG,NFL,12,2,10,0,.167,-7.6,-6.4,-1.2,,,,,4,1,0,Fired 12/04
