,Year,Age,Level,Employer,Role
0,2001,24,College,Michigan State,Special Teams/Offensive Asst.
1,2002,25,College,Fairfield,OL/TE Coach
2,2003,26,College,Pittsburgh,Offensive Asst.
3,2004,27,NFL,New Orleans Saints,Offensive Asst./Quality Control
4,2005,28,NFL,San Francisco 49ers,Asst. OL Coach/Quality Control
5,2006,29,NFL,Green Bay Packers,TE Coach
6,2007,30,NFL,Green Bay Packers,TE Coach
7,2008,31,NFL,Green Bay Packers,TE Coach
8,2009,32,NFL,Green Bay Packers,TE Coach
9,2010,33,NFL,Green Bay Packers,TE Coach
10,2011,34,NFL,Green Bay Packers,TE Coach
11,2012,35,NFL,Green Bay Packers,QB Coach
12,2013,36,NFL,Green Bay Packers,QB Coach
13,2014,37,NFL,New York Giants,Offensive Coordinator
14,2015,38,NFL,New York Giants,Offensive Coordinator
15,2016,39,NFL,New York Giants,Head Coach
16,2017,40,NFL,New York Giants,Head Coach
17,2020,43,NFL,Jacksonville Jaguars,Quarterbacks
18,2021,44,NFL,Dallas Cowboys,Consultant
19,2022,45,NFL,Carolina Panthers,Offensive Coordinator
20,2024,47,NFL,New England Patriots,Senior Offensive Asst.
21,2025,48,NFL,New England Patriots,Senior Defensive Asst.
