,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Akron Indians,1,4,3,16th of 22,,23,89,-66,"Nied,Nesser",,,,,18,1,15,1,1,16,1,22,-8.3,0.9,-7.3,-3.9,-3.4
1,1925,NFL,Akron Pros,4,2,2,4th of 20,,65,51,14,Bierce,,,,,10,1,7,1,1,8,1,20,1.8,2.7,4.5,0.7,3.8
2,1924,NFL,Akron Pros,2,6,0,13th of 18,,59,132,-73,Brenkert,,,,,11,1,14,1,1,14,1,18,-9.1,2.4,-6.8,-3.1,-3.7
3,1923,NFL,Akron Pros,1,6,0,16th of 20,,25,74,-49,"Brenkert,Hendrian",,,,,15,1,16,1,1,16,1,20,-7.0,9.7,2.7,1.4,1.3
4,1922,NFL,Akron Pros,3,5,2,10th of 18,,146,95,51,Brewer,,,,,3,1,11,1,1,5,1,18,5.1,2.3,7.4,7.7,-0.3
5,1921,APFA,Akron Pros,8,3,1,3rd of 21,,148,31,117,"Tobin,Pollard",,,,,4,1,2,1,1,2,1,21,9.8,2.0,11.7,1.4,10.3
6,1920,APFA,Akron Pros,8,0,3,1st of 14,Won Champ,151,7,144,Tobin,,,,,6,1,1,1,1,3,1,14,13.1,7.3,20.4,6.7,13.8
