,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1979,38,New York Giants,NFL,16,6,10,0,.375,-6.1,-5.4,-0.8,,,,,4,
1,1980,39,New York Giants,NFL,16,4,12,0,.250,-9.7,-4.3,-5.5,,,,,5,
2,1981,40,New York Giants,NFL,16,9,7,0,.563,3.4,-2.2,5.5,2,1,1,.500,3,
3,1982,41,New York Giants,NFL,9,4,5,0,.444,1.0,-1.9,2.9,,,,,4,
4,1987,46,Tampa Bay Buccaneers,NFL,15,4,11,0,.267,-5.8,-3.1,-2.7,,,,,4,
5,1988,47,Tampa Bay Buccaneers,NFL,16,5,11,0,.313,-4.1,-1.9,-2.2,,,,,3,
6,1989,48,Tampa Bay Buccaneers,NFL,16,5,11,0,.313,-5.1,-0.4,-4.7,,,,,5,
7,1990,49,Tampa Bay Buccaneers,NFL,13,5,8,0,.385,-7.1,-4.0,-3.2,,,,,2,
