Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1978,SDG,OC,28,8,27,7,4,4,6,26,9,20,12,25,21,4,1,2,23,3,8,21,19,4,15,5,24,18,18,7,27,13,3
1979,NYG,HC,28,21,15,25,28,28,27,17,21,22,24,23,16,23,27,23,12,27,19,14,14,26,22,8,13,12,13,17,20,15,16
1980,NYG,HC,28,25,14,27,28,27,26,25,20,25,23,27,20,8,26,17,17,28,24,27,10,26,26,28,23,1,4,17,15,21,26
1981,NYG,HC,28,10,16,13,22,28,22,7,20,25,21,26,7,12,24,23,9,27,3,3,21,24,10,2,1,14,23,7,4,21,2
1982,NYG,HC,28,15,16,11,14,16,17,8,24,24,14,26,14,9,8,16,3,13,7,8,23,22,20,9,10,25,2,6,8,14,11
1987,TAM,HC,28,24,11,24,25,27,19,5,27,26,25,25,9,5,15,13,8,22,16,20,13,22,21,24,19,6,8,11,15,19,16
1988,TAM,HC,28,22,26,25,15,17,22,28,21,21,19,18,16,14,12,18,28,11,13,19,16,14,2,25,1,22,21,26,12,11,25
1989,TAM,HC,28,23,16,24,21,22,16,17,21,23,23,20,1,6,14,8,27,23,17,27,6,15,21,22,22,4,17,14,27,9,16
1990,TAM,HC,28,17,12,25,26,24,25,26,21,19,26,16,24,19,17,17,26,19,24,22,3,22,25,24,24,10,12,18,19,2,20
1993,NWE,OC,28,23,24,22,11,12,22,18,4,13,19,22,4,5,12,17,24,18,13,11,24,24,22,10,17,25,6,4,18,19,9
1994,NWE,OC,28,6,11,9,7,4,8,25,11,27,11,28,11,1,1,4,27,8,18,12,1,8,19,11,26,3,16,16,14,4,12
1995,NWE,OC,30,24,25,25,19,12,23,24,12,10,8,14,29,1,15,27,13,28,28,25,18,16,22,11,23,13,14,25,27,22,26
1996,NWE,OC,30,5,7,5,12,7,2,10,22,26,7,25,11,2,3,4,8,14,19,14,10,11,6,20,3,20,29,28,6,4,19
1997,OAK,OC,30,26,18,26,30,13,17,13,30,23,22,6,19,16,8,3,3,10,30,28,26,30,30,30,24,18,23,30,15,28,30
