Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1972,DEN,HC,26,17,23,18,6,5,9,15,21,18,6,5,8,4,3,7,19,7,9,21,26,8,4,17,5,19,25,16,20,24,6
1973,DEN,HC,26,11,13,9,9,6,3,8,17,14,6,14,1,7,3,3,18,4,19,15,22,5,6,16,9,16,24,24,13,21,18
1974,DEN,HC,26,10,9,13,11,5,7,9,11,5,4,3,10,24,9,7,9,7,21,22,12,15,13,18,11,19,25,24,13,8,19
1975,DEN,HC,26,14,24,16,8,10,17,23,14,13,23,10,8,7,7,15,26,13,9,18,19,16,13,18,6,12,3,7,7,18,14
1976,DEN,HC,28,11,12,8,13,16,7,15,17,19,14,19,3,21,12,15,23,12,8,6,13,11,3,13,2,22,22,12,1,4,9
1978,PHI,OC,28,8,2,9,11,18,18,12,10,7,12,8,24,15,21,14,1,22,11,5,2,2,5,2,9,7,21,22,14,4,19
