,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Louisville Colonels,0,4,0,21st of 22,,0,108,-108,Sachs,,,,,22,1,22,1,1,22,1,22,-27.0,6.9,-20.1,-4.2,-15.9
1,1923,NFL,Louisville Brecks,0,3,0,19th of 20,,0,90,-90,Kendrick,,,,,20,1,19,1,1,19,1,20,-30.0,4.9,-25.1,-9.0,-16.1
2,1922,NFL,Louisville Brecks,1,3,0,13th of 18,,13,140,-127,Wiggs,,,,,14,1,18,1,1,18,1,18,-31.8,-0.8,-32.6,-5.9,-26.7
3,1921,APFA,Louisville Brecks,0,2,0,18th of 21,,0,27,-27,Higgins,,,,,18,1,13,1,1,16,1,21,-13.5,-12.0,-25.5,-23.0,-2.5
