,Year,Age,Level,Employer,Role
0,1959,32,College,Notre Dame,Offensive Line
1,1960,33,College,Notre Dame,Offensive Line
2,1961,34,College,Notre Dame,Offensive Line
3,1962,35,College,Notre Dame,Offensive Line
4,1963,36,College,California,Offensive Line
5,1964,37,NFL,Philadelphia Eagles,Offensive Line
6,1965,38,NFL,Philadelphia Eagles,Offensive Line
7,1966,39,NFL,Philadelphia Eagles,Offensive Line
8,1967,40,NFL,Philadelphia Eagles,Offensive Line
9,1968,41,NFL,Philadelphia Eagles,Offensive Line
10,1969,42,NFL,Philadelphia Eagles,Offensive Line
11,1970,43,NFL,Philadelphia Eagles,Offensive Line
12,1971,44,NFL,San Francisco 49ers,Offensive Coordinator/OL
13,1972,45,NFL,San Francisco 49ers,Offensive Coordinator/OL
14,1973,46,NFL,San Francisco 49ers,Offensive Coordinator/OL
15,1974,47,NFL,San Francisco 49ers,Offensive Coordinator/OL
16,1975,48,NFL,San Francisco 49ers,Offensive Coordinator/OL
17,1976,49,NFL,New Orleans Saints,Offensive Line
18,1977,50,NFL,New Orleans Saints,Offensive Line
19,1978,51,NFL,New Orleans Saints,Offensive Line
20,1979,52,NFL,New Orleans Saints,Offensive Line
21,1980,53,NFL,New Orleans Saints,Offensive Line/Interim HC
22,1981,54,NFL,Chicago Bears,Offensive Line
23,1982,55,NFL,Chicago Bears,Offensive Line
24,1983,56,NFL,Chicago Bears,Offensive Line
25,1984,57,NFL,Chicago Bears,Offensive Line
26,1985,58,NFL,Chicago Bears,Offensive Line
27,1986,59,NFL,Chicago Bears,Offensive Line
28,1987,60,NFL,Chicago Bears,Offensive Line
29,1988,61,NFL,Chicago Bears,Offensive Line
30,1989,62,NFL,Chicago Bears,Offensive Line
31,1990,63,NFL,Chicago Bears,Offensive Line
32,1991,64,NFL,Chicago Bears,Offensive Line
33,1992,65,NFL,Chicago Bears,Offensive Line
34,1997,70,NFL,New Orleans Saints,Offensive Line
35,1998,71,NFL,New Orleans Saints,Offensive Line
