Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1984,CIN,DC,28,14,12,13,9,5,13,18,5,6,6,14,20,15,13,22,15,10,13,16,8,12,11,25,12,12,17,18,3,7,19
1985,CIN,DC,28,16,4,14,11,3,3,1,10,12,4,8,11,10,4,2,2,3,22,26,13,8,15,25,23,9,17,24,23,18,23
1986,CIN,DC,28,8,20,13,2,1,3,13,6,2,1,1,13,20,3,6,12,1,20,23,24,21,22,26,22,25,11,10,6,20,16
1987,CIN,DC,28,24,21,25,6,5,20,8,2,4,12,13,4,18,9,20,17,7,8,24,27,8,8,17,9,22,6,14,17,23,19
1988,CIN,DC,28,1,5,2,4,1,1,3,2,1,1,1,10,27,11,4,2,1,15,16,10,15,18,20,22,16,20,10,12,6,8
1989,CIN,DC,28,15,12,3,6,3,4,9,6,1,6,2,25,14,7,2,3,9,15,7,11,17,26,3,28,9,7,8,17,9,12
1990,CIN,DC,28,10,18,15,21,9,7,18,7,5,9,6,6,24,15,5,23,8,25,19,13,15,22,18,26,12,27,26,24,19,18
1991,CIN,DC,28,25,25,27,23,14,23,24,12,12,17,12,26,9,11,19,22,19,28,28,14,17,13,24,7,14,15,28,27,14,27
1995,PIT,DC,30,3,14,6,2,6,5,21,5,12,6,19,13,9,8,15,24,9,3,9,9,3,2,5,6,19,9,6,18,3,9
1996,PIT,DC,30,6,7,6,5,15,11,21,2,2,3,6,20,30,27,24,17,13,2,4,2,5,3,5,2,2,21,5,6,4,2
1997,CIN,DC,30,17,14,21,24,10,10,7,13,9,1,7,16,21,13,12,1,9,28,27,25,28,29,19,25,25,19,21,29,21,21
1998,CIN,DC,30,28,17,30,26,17,27,7,24,19,25,13,12,15,17,17,3,20,28,30,27,30,30,29,29,23,1,12,17,21,30
1999,CIN,DC,31,28,19,30,21,15,24,16,14,6,17,3,21,12,23,22,16,24,25,31,22,24,16,30,9,7,12,28,29,26,30
2000,CIN,HC,31,27,28,29,28,29,30,24,9,2,17,5,31,27,31,31,8,31,22,21,27,28,24,12,7,18,18,23,27,30,22
,CIN,DC,31,27,28,29,28,29,30,24,9,2,17,5,31,27,31,31,8,31,22,21,27,28,24,12,7,18,18,23,27,30,22
2001,CIN,HC,31,22,24,25,16,23,31,26,15,18,14,21,10,2,23,30,31,30,9,14,16,17,11,11,10,6,11,12,20,25,12
2002,CIN,HC,32,32,30,32,18,18,28,25,19,21,17,21,15,5,13,28,25,23,17,32,31,29,22,20,11,17,1,13,31,30,30
2004,PIT,DC,32,1,5,5,2,16,11,5,1,2,6,19,4,32,28,19,8,8,1,1,11,2,1,5,5,9,5,4,1,9,5
2005,PIT,DC,32,5,9,5,7,15,9,6,1,5,5,12,5,32,24,12,9,2,4,3,11,5,3,7,1,5,24,16,2,19,3
2006,PIT,DC,32,13,27,11,3,7,12,29,14,10,8,11,21,14,9,12,30,7,9,11,13,6,3,4,3,24,24,20,16,6,16
2007,PIT,DC,32,7,12,6,3,17,9,6,3,3,22,7,6,31,22,3,6,14,1,2,22,2,3,1,14,10,14,3,15,30,1
2008,PIT,DC,32,2,11,5,2,22,20,15,9,23,11,29,13,20,17,18,16,20,1,1,9,5,2,2,1,18,23,1,2,6,1
2009,PIT,DC,32,11,20,14,6,7,12,12,18,19,20,16,17,18,9,7,12,8,5,12,26,4,3,4,5,17,23,16,14,25,8
2010,PIT,DC,32,3,2,3,2,14,12,4,8,11,8,18,9,27,14,21,4,5,2,1,3,1,1,1,1,5,29,12,3,5,2
2011,PIT,DC,32,5,28,7,1,12,21,20,19,14,15,11,26,19,10,13,17,9,1,1,32,8,8,2,9,30,13,1,2,24,1
2012,PIT,DC,32,15,24,14,4,21,22,26,20,26,27,28,27,12,14,8,12,17,1,6,25,6,2,6,4,18,6,1,7,27,2
2013,PIT,DC,32,14,20,14,17,20,16,14,25,27,25,29,16,13,12,9,15,12,13,14,27,13,21,27,21,15,18,9,7,29,10
2014,PIT,DC,32,6,16,10,4,2,7,10,15,16,21,16,19,6,2,6,5,2,18,18,23,3,6,8,25,16,11,27,28,25,29
2016,TEN,DC,32,11,17,20,17,11,14,11,4,3,10,4,7,28,25,8,12,12,20,16,23,2,2,5,12,24,31,30,17,18,18
2017,TEN,DC,32,11,23,16,17,23,19,23,14,15,2,15,14,28,23,30,26,17,13,17,16,6,4,1,4,14,32,25,24,18,13
