,Year,Age,Level,Employer,Role
0,2008,22,NFL,Tampa Bay Buccaneers,Asst. Wide Receivers
1,2009,23,UFL,Florida Tuskers,Wide Receivers
2,2010,24,NFL,Washington Redskins,Asst. Tight Ends
3,2011,25,NFL,Washington Redskins,Tight Ends
4,2012,26,NFL,Washington Redskins,Tight Ends
5,2013,27,NFL,Washington Redskins,Tight Ends
6,2014,28,NFL,Washington Redskins,Offensive Coordinator
7,2015,29,NFL,Washington Redskins,Offensive Coordinator
8,2016,30,NFL,Washington Redskins,Offensive Coordinator
9,2017,31,NFL,Los Angeles Rams,Head Coach
10,2018,32,NFL,Los Angeles Rams,Head Coach
11,2019,33,NFL,Los Angeles Rams,Head Coach
12,2020,34,NFL,Los Angeles Rams,Head Coach
13,2021,35,NFL,Los Angeles Rams,Head Coach
14,2022,36,NFL,Los Angeles Rams,Head Coach
15,2023,37,NFL,Los Angeles Rams,Head Coach
16,2024,38,NFL,Los Angeles Rams,Head Coach
17,2025,39,NFL,Los Angeles Rams,Head Coach
