,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2014,WAS,OC,32,27,30,29,17,13,26,29,21,19,9,14,25,18,11,27,26,10,20,29,25,14,12,14,13,6,2,24,32,28,30
1,2015,WAS,OC,32,12,10,14,23,17,10,15,14,20,20,30,22,20,11,13,9,6,28,17,8,11,26,10,31,1,17,25,22,21,26
2,2016,WAS,OC,32,16,17,18,9,3,12,15,27,21,6,9,13,7,2,14,14,2,28,19,17,19,24,28,27,19,22,25,11,15,23
3,2017,LAR,HC,32,5,9,3,10,10,1,13,9,8,5,7,30,24,10,6,1,7,19,12,5,11,28,27,30,11,19,13,10,6,9
4,2018,LAR,HC,32,1,4,3,3,2,2,11,8,3,2,3,8,14,5,8,12,3,19,20,3,10,23,10,32,4,10,14,25,3,22
5,2019,LAR,HC,32,11,15,12,8,7,11,22,18,26,4,27,5,3,4,19,25,11,13,17,9,24,19,21,9,7,18,12,13,12,11
6,2020,LAR,HC,32,12,21,10,1,11,22,25,7,10,10,17,24,12,13,26,23,16,1,1,10,4,3,4,3,15,15,1,1,12,1
7,2021,LAR,HC,32,3,13,6,12,9,7,17,23,25,28,25,2,10,5,2,27,2,17,15,10,17,6,23,5,26,27,22,2,3,15
8,2022,LAR,HC,32,27,16,28,30,32,27,17,26,27,16,27,7,24,27,28,22,29,19,21,17,14,13,10,13,28,12,21,14,7,24
9,2023,LAR,HC,32,10,21,11,9,7,8,6,12,11,8,12,2,14,10,15,18,7,20,19,30,11,12,11,17,31,25,20,22,23,14
10,2024,LAR,HC,32,10,10,17,22,15,20,4,16,24,15,31,4,14,10,16,7,10,26,17,14,19,22,10,26,20,12,20,26,12,26
