,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2017,31,Los Angeles Rams,NFL,16,11,5,0,.688,9.2,8.2,1.0,1,0,1,.000,1,6,3,
1,2018,32,Los Angeles Rams,NFL,16,13,3,0,.813,8.5,9.5,-1.1,3,2,1,.667,1,8,3,NFC Champions
2,2019,33,Los Angeles Rams,NFL,16,9,7,0,.563,3.9,2.2,1.7,,,,,3,5,1,
3,2020,34,Los Angeles Rams,NFL,3,2,1,0,.667,2.5,-1.1,3.6,,,,,2,1,1,
