,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1939,36,Pittsburgh Pirates,NFL,8,1,6,1,.143,-9.4,-4.9,-4.6,,,,,4,
1,1940,37,Pittsburgh Steelers,NFL,11,2,7,2,.222,-10.3,-9.5,-0.8,,,,,4,
2,1941,38,Pittsburgh Steelers,NFL,4,1,2,1,.333,-14.4,-6.5,-7.9,,,,,5,
3,1942,39,Pittsburgh Steelers,NFL,11,7,4,0,.636,2.7,-1.0,3.7,,,,,2,
4,1943,40,Phi/Pit Eagles/Steelers,NFL,10,5,4,1,.556,-1.5,3.7,-5.2,,,,,3,co-coach with Greasy Neale
5,1944,41,Chi/Pit Cards/Steelers,NFL,10,0,10,0,.000,-17.9,-5.5,-12.3,,,,,5,co-coach with Phil Handler
6,1954,51,Pittsburgh Steelers,NFL,12,5,7,0,.417,-6.0,-5.1,-0.9,,,,,4,
7,1955,52,Pittsburgh Steelers,NFL,12,4,8,0,.333,-3.5,-2.5,-1.0,,,,,6,
8,1956,53,Pittsburgh Steelers,NFL,12,5,7,0,.417,-2.9,-0.3,-2.6,,,,,4,
