Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2011,BAL,DC,32,5,11,5,5,15,12,16,8,10,10,12,24,18,19,13,5,19,3,3,13,13,2,6,2,7,15,4,1,17,3
2012,IND,HC,32,6,26,21,18,10,18,23,14,22,18,26,15,6,7,16,26,18,26,21,30,17,29,21,31,32,9,21,15,20,21
2013,IND,HC,32,6,3,10,20,15,14,1,23,20,10,13,1,15,17,19,5,16,20,9,15,23,26,18,25,5,8,13,7,17,19
2014,IND,HC,32,6,22,7,3,3,6,29,17,22,24,25,31,1,1,1,19,5,11,19,10,16,18,21,23,2,11,12,20,21,17
2015,IND,HC,32,14,22,25,30,28,24,26,21,29,28,31,22,9,22,16,28,32,26,25,12,23,25,25,23,22,20,24,19,6,20
2016,IND,HC,32,17,24,16,26,10,8,16,16,23,16,22,7,13,5,6,18,11,30,22,26,15,25,13,30,17,19,27,20,29,25
2017,IND,HC,32,29,12,30,32,31,30,4,10,22,19,28,7,30,30,31,6,29,30,30,20,30,26,27,9,19,5,28,15,15,32
2019,CHI,DC,32,14,15,19,21,29,29,11,20,27,28,29,5,14,25,25,15,32,8,4,22,15,9,26,6,14,21,9,4,25,9
2020,CHI,DC,32,14,23,15,20,26,22,20,27,25,27,21,8,8,22,18,26,26,11,14,25,22,15,2,9,15,14,12,16,23,17
