Year,Age,Level,Employer,Role
1984,24,College,Southern California,Graduate Assistant
1984,24,College,USC,Graduate Assistant
1985,25,College,Southern California,Graduate Assistant
1985,25,College,USC,Graduate Assistant
1986,26,College,Miami-FL,Graduate Assistant
1987,27,College,Boise State,Linebackers
1988,28,College,Boise State,Linebackers
1989,29,College,East Carolina,Secondary
1990,30,College,UNLV,Secondary
1991,31,College,UNLV,Defensive Coordinator
1992,32,College,East Carolina,Secondary/Linebackers
1993,33,College,East Carolina,Secondary/Linebackers
1994,34,College,East Carolina,Secondary/Linebackers
1995,35,College,Miami-FL,Secondary
1996,36,College,Miami-FL,Secondary
1997,37,College,Miami-FL,Secondary
1998,38,College,Miami-FL,Secondary
1999,39,College,Miami-FL,Secondary
2000,40,College,Miami-FL,Secondary
2001,41,NFL,Cleveland Browns,Secondary
2002,42,NFL,Cleveland Browns,Secondary
2003,43,NFL,Cleveland Browns,Secondary
2004,44,NFL,Cleveland Browns,Secondary
2005,45,NFL,Oakland Raiders,Secondary
2006,46,NFL,Oakland Raiders,Secondary
2007,47,College,North Carolina,Defensive Coordinator
2008,48,NFL,Baltimore Ravens,Secondary
2009,49,NFL,Baltimore Ravens,Secondary
2010,50,NFL,Baltimore Ravens,Secondary
2011,51,NFL,Baltimore Ravens,Defensive Coordinator
2012,52,NFL,Indianapolis Colts,Head Coach
2013,53,NFL,Indianapolis Colts,Head Coach
2014,54,NFL,Indianapolis Colts,Head Coach
2015,55,NFL,Indianapolis Colts,Head Coach
2016,56,NFL,Indianapolis Colts,Head Coach
2017,57,NFL,Indianapolis Colts,Head Coach
2019,59,NFL,Chicago Bears,Defensive Coordinator
2020,60,NFL,Chicago Bears,Defensive Coordinator
2025,65,NFL,Baltimore Ravens,Sr. Defensive Asst.-Secondary
