Year,Age,Level,Employer,Role
2010,34,NFL,Miami Dolphins,Offensive Coaching Intern
2011,35,NFL,Miami Dolphins,Tight Ends
2012,36,NFL,Miami Dolphins,Tight Ends
2013,37,NFL,Miami Dolphins,Tight Ends
2014,38,NFL,Miami Dolphins,Tight Ends
2015,39,NFL,Miami Dolphins,TE Coach/Interim Head Coach
2016,40,NFL,New Orleans Saints,Asst. HC/Tight Ends
2017,41,NFL,New Orleans Saints,Asst. HC/Tight Ends
2018,42,NFL,New Orleans Saints,Asst. HC/Tight Ends
2019,43,NFL,New Orleans Saints,Asst. HC/Tight Ends
2020,44,NFL,New Orleans Saints,Asst. HC/Tight Ends
2021,45,NFL,Detroit Lions,Head Coach
2022,46,NFL,Detroit Lions,Head Coach
2023,47,NFL,Detroit Lions,Head Coach
2024,48,NFL,Detroit Lions,Head Coach
2025,49,NFL,Detroit Lions,Head Coach
