Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2015,39,MIA,NFL,12,5,7,0,.417,-6.8,-4.7,-2.2,,,,,4,3,3,Replaced Joe Philbin after Week 4
2021,45,DET,NFL,17,3,13,1,.206,-7.8,-3.5,-4.3,,,,,4,4,1,
2022,46,DET,NFL,17,9,8,0,.529,2.2,4.7,-2.4,,,,,2,4,2,
2023,47,DET,NFL,17,12,5,0,.706,4.3,6.0,-1.8,3,2,1,.667,1,4,0,
2024,48,DET,NFL,17,15,2,0,.882,13.8,10.6,3.2,1,0,1,.000,1,5,3,
