,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2018,57,IND,NFL,16,10,6,0,.625,3.4,3.9,-0.6,2,1,1,.500,2,5,2,
1,2019,58,IND,NFL,16,7,9,0,.438,-1.8,-1.0,-0.8,,,,,3,8,2,
2,2020,59,IND,NFL,16,11,5,0,.688,2.8,1.2,1.6,1,0,1,.000,2,7,3,
3,2021,60,IND,NFL,17,9,8,0,.529,4.4,3.3,1.1,,,,,2,3,3,
4,2022,61,IND,NFL,9,3,5,1,.389,-8.6,-4.9,-3.7,,,,,3,1,0,Fired after week 9
