Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1927,25,DUL,NFL,9,1,8,0,.111,-0.4,1.7,-2.2,,,,,11,
1930,28,CRD,NFL,13,5,6,2,.455,1.1,-0.6,1.7,,,,,7,
1931,29,CRD,NFL,8,5,3,0,.625,3.0,5.4,-2.3,,,,,4,
1939,37,CRD,NFL,11,1,10,0,.091,-9.6,-5.5,-4.2,,,,,5,
